Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.75, 'recall': 0.007583737097113966, 'f1-score': 0.015015641293013554, 'support': 4747}, '1': {'precision': 0.4437359782737041, 'recall': 0.996816976127321, 'f1-score': 0.6141024593512542, 'support': 3770}, 'accuracy': 0.4454620171421862, 'macro avg': {'precision': 0.596867989136852, 'recall': 0.5022003566122175, 'f1-score': 0.3145590503221339, 'support': 8517}, 'weighted avg': {'precision': 0.6144340305379669, 'recall': 0.4454620171421862, 'f1-score': 0.2801979007833936, 'support': 8517}};{'-1': {'precision': 0.84, 'recall': 0.0044444444444444444, 'f1-score': 0.008842105263157894, 'support': 4725}, '1': {'precision': 0.444234404536862, 'recall': 0.9989373007438895, 'f1-score': 0.6149820085050703, 'support': 3764}, 'accuracy': 0.4453999293202969, 'macro avg': {'precision': 0.6421172022684309, 'recall': 0.501690872594167, 'f1-score': 0.3119120568841141, 'support': 8489}, 'weighted avg': {'precision': 0.6645185886060488, 'recall': 0.4453999293202969, 'f1-score': 0.2776029246532578, 'support': 8489}};{'-1': {'precision': 0.7352941176470589, 'recall': 0.005329354082285227, 'f1-score': 0.010582010582010583, 'support': 4691}, '1': {'precision': 0.44643492703760823, 'recall': 0.9976139978791092, 'f1-score': 0.6168346856815015, 'support': 3772}, 'accuracy': 0.4475954153373508, 'macro avg': {'precision': 0.5908645223423336, 'recall': 0.5014716759806972, 'f1-score': 0.313708348131756, 'support': 8463}, 'weighted avg': {'precision': 0.6065481803932661, 'recall': 0.4475954153373508, 'f1-score': 0.2807917577727561, 'support': 8463}};{'-1': {'precision': 0.9393939393939394, 'recall': 0.006573367260390161, 'f1-score': 0.013055380080016846, 'support': 4716}, '1': {'precision': 0.4451024517351652, 'recall': 0.999468085106383, 'f1-score': 0.6159141194788167, 'support': 3760}, 'accuracy': 0.4470268994808872, 'macro avg': {'precision': 0.6922481955645523, 'recall': 0.5030207261833866, 'f1-score': 0.31448474977941676, 'support': 8476}, 'weighted avg': {'precision': 0.7201235295783435, 'recall': 0.4470268994808872, 'f1-score': 0.28048681709505785, 'support': 8476}};{'-1': {'precision': 0.7631578947368421, 'recall': 0.006098843322818086, 'f1-score': 0.012100980596703526, 'support': 4755}, '1': {'precision': 0.443082724487391, 'recall': 0.9976120986999204, 'f1-score': 0.6136270909832722, 'support': 3769}, 'accuracy': 0.4445096198967621, 'macro avg': {'precision': 0.6031203096121166, 'recall': 0.5018554710113693, 'f1-score': 0.31286403578998784, 'support': 8524}, 'weighted avg': {'precision': 0.6216324000547467, 'recall': 0.4445096198967621, 'f1-score': 0.2780737527749036, 'support': 8524}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.7386363636363636, 'recall': 0.013692858647566884, 'f1-score': 0.02688728024819028, 'support': 4747}, '1': {'precision': 0.4445367184719421, 'recall': 0.9938992042440318, 'f1-score': 0.6143126485777523, 'support': 3770}, 'accuracy': 0.447575437360573, 'macro avg': {'precision': 0.5915865410541529, 'recall': 0.5037960314457993, 'f1-score': 0.3205999644129713, 'support': 8517}, 'weighted avg': {'precision': 0.6084548839757004, 'recall': 0.447575437360573, 'f1-score': 0.286907667544474, 'support': 8517}};{'-1': {'precision': 0.7721518987341772, 'recall': 0.01291005291005291, 'f1-score': 0.0253955037468776, 'support': 4725}, '1': {'precision': 0.44542211652794295, 'recall': 0.9952178533475027, 'f1-score': 0.6154098899293576, 'support': 3764}, 'accuracy': 0.44846271645659086, 'macro avg': {'precision': 0.6087870076310601, 'recall': 0.5040639531287778, 'f1-score': 0.3204026968381176, 'support': 8489}, 'weighted avg': {'precision': 0.6272807831464442, 'recall': 0.44846271645659086, 'f1-score': 0.2870063118032864, 'support': 8489}};{'-1': {'precision': 0.6979166666666666, 'recall': 0.014282668940524408, 'f1-score': 0.027992479632337582, 'support': 4691}, '1': {'precision': 0.4473526951117485, 'recall': 0.9923117709437964, 'f1-score': 0.6166900074141197, 'support': 3772}, 'accuracy': 0.4501949663239986, 'macro avg': {'precision': 0.5726346808892075, 'recall': 0.5032972199421604, 'f1-score': 0.3223412435232286, 'support': 8463}, 'weighted avg': {'precision': 0.5862390936186752, 'recall': 0.4501949663239986, 'f1-score': 0.2903778128230362, 'support': 8463}};{'-1': {'precision': 0.8735632183908046, 'recall': 0.016115351993214587, 'f1-score': 0.031646887362065376, 'support': 4716}, '1': {'precision': 0.4468947431159852, 'recall': 0.9970744680851064, 'f1-score': 0.6171701374598733, 'support': 3760}, 'accuracy': 0.4512741859367626, 'macro avg': {'precision': 0.660228980753395, 'recall': 0.5065949100391605, 'f1-score': 0.3244085124109693, 'support': 8476}, 'weighted avg': {'precision': 0.6842907470560569, 'recall': 0.4512741859367626, 'f1-score': 0.29138820642385843, 'support': 8476}};{'-1': {'precision': 0.6944444444444444, 'recall': 0.010515247108307046, 'f1-score': 0.020716801325875285, 'support': 4755}, '1': {'precision': 0.44332702318977757, 'recall': 0.9941629079331388, 'f1-score': 0.6132067752229768, 'support': 3769}, 'accuracy': 0.4454481464101361, 'macro avg': {'precision': 0.5688857338171109, 'recall': 0.5023390775207229, 'f1-score': 0.31696178827442606, 'support': 8524}, 'weighted avg': {'precision': 0.5834095358676213, 'recall': 0.4454481464101361, 'f1-score': 0.28269412554199164, 'support': 8524}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.727810650887574, 'recall': 0.02591110174847272, 'f1-score': 0.05004068348250611, 'support': 4747}, '1': {'precision': 0.44609487302347867, 'recall': 0.9877984084880637, 'f1-score': 0.6146228750618914, 'support': 3770}, 'accuracy': 0.45168486556299164, 'macro avg': {'precision': 0.5869527619555264, 'recall': 0.5068547551182682, 'f1-score': 0.33233177927219876, 'support': 8517}, 'weighted avg': {'precision': 0.6031108173138228, 'recall': 0.45168486556299164, 'f1-score': 0.2999496728278487, 'support': 8517}};{'-1': {'precision': 0.7666666666666667, 'recall': 0.02433862433862434, 'f1-score': 0.04717948717948719, 'support': 4725}, '1': {'precision': 0.4471759203741456, 'recall': 0.990701381509033, 'f1-score': 0.6162108568123607, 'support': 3764}, 'accuracy': 0.4528212981505478, 'macro avg': {'precision': 0.6069212935204061, 'recall': 0.5075200029238287, 'f1-score': 0.3316951719959239, 'support': 8489}, 'weighted avg': {'precision': 0.6250053203308146, 'recall': 0.4528212981505478, 'f1-score': 0.29948648156023117, 'support': 8489}};{'-1': {'precision': 0.6467391304347826, 'recall': 0.02536772543167768, 'f1-score': 0.04882051282051282, 'support': 4691}, '1': {'precision': 0.447759391230825, 'recall': 0.9827677624602333, 'f1-score': 0.6152186540536055, 'support': 3772}, 'accuracy': 0.4520855488597424, 'macro avg': {'precision': 0.5472492608328038, 'recall': 0.5040677439459555, 'f1-score': 0.3320195834370592, 'support': 8463}, 'weighted avg': {'precision': 0.5580528990419753, 'recall': 0.4520855488597424, 'f1-score': 0.3012669016579494, 'support': 8463}};{'-1': {'precision': 0.831081081081081, 'recall': 0.02608142493638677, 'f1-score': 0.05057565789473684, 'support': 4716}, '1': {'precision': 0.4484870317002882, 'recall': 0.9933510638297872, 'f1-score': 0.6179682329583058, 'support': 3760}, 'accuracy': 0.4551675318546484, 'macro avg': {'precision': 0.6397840563906846, 'recall': 0.509716244383087, 'f1-score': 0.33427194542652133, 'support': 8476}, 'weighted avg': {'precision': 0.6613602663486859, 'recall': 0.4551675318546484, 'f1-score': 0.30227411025894396, 'support': 8476}};{'-1': {'precision': 0.6906474820143885, 'recall': 0.02018927444794953, 'f1-score': 0.03923171230077647, 'support': 4755}, '1': {'precision': 0.4443649373881932, 'recall': 0.9885911382329531, 'f1-score': 0.6131314793483627, 'support': 3769}, 'accuracy': 0.44838104176442983, 'macro avg': {'precision': 0.5675062097012908, 'recall': 0.5043902063404513, 'f1-score': 0.32618159582456957, 'support': 8524}, 'weighted avg': {'precision': 0.5817503784601734, 'recall': 0.44838104176442983, 'f1-score': 0.29298912924145604, 'support': 8524}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.6455284552845528, 'recall': 0.08363176743206235, 'f1-score': 0.14807907497202535, 'support': 4747}, '1': {'precision': 0.4495064540622627, 'recall': 0.9421750663129973, 'f1-score': 0.6086360520904729, 'support': 3770}, 'accuracy': 0.4636609134671833, 'macro avg': {'precision': 0.5475174546734077, 'recall': 0.5129034168725298, 'f1-score': 0.3783575635312491, 'support': 8517}, 'weighted avg': {'precision': 0.5587604683633324, 'recall': 0.4636609134671833, 'f1-score': 0.35194191443856837, 'support': 8517}};{'-1': {'precision': 0.671353251318102, 'recall': 0.08084656084656085, 'f1-score': 0.14431431809595768, 'support': 4725}, '1': {'precision': 0.4516414141414141, 'recall': 0.9503188097768331, 'f1-score': 0.6122903115371447, 'support': 3764}, 'accuracy': 0.4663682412533867, 'macro avg': {'precision': 0.5614973327297581, 'recall': 0.515582685311697, 'f1-score': 0.3783023148165512, 'support': 8489}, 'weighted avg': {'precision': 0.5739336076459317, 'recall': 0.4663682412533867, 'f1-score': 0.35181362770988484, 'support': 8489}};{'-1': {'precision': 0.6186708860759493, 'recall': 0.08335109784694095, 'f1-score': 0.1469096374225061, 'support': 4691}, '1': {'precision': 0.4509002681649853, 'recall': 0.9361081654294804, 'f1-score': 0.6086356976643972, 'support': 3772}, 'accuracy': 0.4634290440742054, 'macro avg': {'precision': 0.5347855771204673, 'recall': 0.5097296316382107, 'f1-score': 0.3777726675434516, 'support': 8463}, 'weighted avg': {'precision': 0.5438947108709209, 'recall': 0.4634290440742054, 'f1-score': 0.35270317390276285, 'support': 8463}};{'-1': {'precision': 0.6623164763458401, 'recall': 0.08608990670059373, 'f1-score': 0.1523738037155189, 'support': 4716}, '1': {'precision': 0.4518631565560219, 'recall': 0.9449468085106383, 'f1-score': 0.6113739998279274, 'support': 3760}, 'accuracy': 0.46708352996696556, 'macro avg': {'precision': 0.557089816450931, 'recall': 0.515518357605616, 'f1-score': 0.38187390177172315, 'support': 8476}, 'weighted avg': {'precision': 0.5689582316066097, 'recall': 0.46708352996696556, 'f1-score': 0.35598880340672423, 'support': 8476}};{'-1': {'precision': 0.6596858638743456, 'recall': 0.07949526813880126, 'f1-score': 0.14189189189189189, 'support': 4755}, '1': {'precision': 0.4495032071437555, 'recall': 0.9482621384982755, 'f1-score': 0.6098976109215017, 'support': 3769}, 'accuracy': 0.4636320976067574, 'macro avg': {'precision': 0.5545945355090506, 'recall': 0.5138787033185384, 'f1-score': 0.3758947514066968, 'support': 8524}, 'weighted avg': {'precision': 0.566750806012122, 'recall': 0.4636320976067574, 'f1-score': 0.3488268467279547, 'support': 8524}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.61652739090065, 'recall': 0.13987781756899095, 'f1-score': 0.22802197802197802, 'support': 4747}, '1': {'precision': 0.45120967741935486, 'recall': 0.8904509283819628, 'f1-score': 0.5989295272078502, 'support': 3770}, 'accuracy': 0.47211459434073033, 'macro avg': {'precision': 0.5338685341600025, 'recall': 0.5151643729754769, 'f1-score': 0.4134757526149141, 'support': 8517}, 'weighted avg': {'precision': 0.5433504765147766, 'recall': 0.47211459434073033, 'f1-score': 0.39220202503744567, 'support': 8517}};{'-1': {'precision': 0.6326732673267327, 'recall': 0.13523809523809524, 'f1-score': 0.22284219703574543, 'support': 4725}, '1': {'precision': 0.4536702767749699, 'recall': 0.9014346439957492, 'f1-score': 0.6035755581250556, 'support': 3764}, 'accuracy': 0.4749676051360584, 'macro avg': {'precision': 0.5431717720508513, 'recall': 0.5183363696169222, 'f1-score': 0.4132088775804005, 'support': 8489}, 'weighted avg': {'precision': 0.5533038178701613, 'recall': 0.4749676051360584, 'f1-score': 0.3916583557281902, 'support': 8489}};{'-1': {'precision': 0.5918895599654875, 'recall': 0.14623747601790663, 'f1-score': 0.23452991452991453, 'support': 4691}, '1': {'precision': 0.45167031763417304, 'recall': 0.8746023329798516, 'f1-score': 0.5957024196460817, 'support': 3772}, 'accuracy': 0.4708732128086967, 'macro avg': {'precision': 0.5217799387998303, 'recall': 0.5104199044988791, 'f1-score': 0.41511616708799814, 'support': 8463}, 'weighted avg': {'precision': 0.529393166006641, 'recall': 0.4708732128086967, 'f1-score': 0.3955062455352534, 'support': 8463}};{'-1': {'precision': 0.6299810246679317, 'recall': 0.14079728583545378, 'f1-score': 0.23015597920277298, 'support': 4716}, '1': {'precision': 0.45405551064403127, 'recall': 0.8962765957446809, 'f1-score': 0.6027544267572885, 'support': 3760}, 'accuracy': 0.475932043416706, 'macro avg': {'precision': 0.5420182676559815, 'recall': 0.5185369407900673, 'f1-score': 0.41645520298003075, 'support': 8476}, 'weighted avg': {'precision': 0.55193950358135, 'recall': 0.475932043416706, 'f1-score': 0.3954426902463051, 'support': 8476}};{'-1': {'precision': 0.6231306081754736, 'recall': 0.13144058885383805, 'f1-score': 0.21708926710663426, 'support': 4755}, '1': {'precision': 0.45087089482781545, 'recall': 0.8997081453966569, 'f1-score': 0.6007085916740478, 'support': 3769}, 'accuracy': 0.47114030971374943, 'macro avg': {'precision': 0.5370007515016445, 'recall': 0.5155743671252475, 'f1-score': 0.408898929390341, 'support': 8524}, 'weighted avg': {'precision': 0.5469636842421883, 'recall': 0.47114030971374943, 'f1-score': 0.386711654987275, 'support': 8524}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.6029411764705882, 'recall': 0.24183694965241204, 'f1-score': 0.34521124642910833, 'support': 4747}, '1': {'precision': 0.4557689399667322, 'recall': 0.7994694960212202, 'f1-score': 0.5805643840893769, 'support': 3770}, 'accuracy': 0.4886697193847599, 'macro avg': {'precision': 0.5293550582186601, 'recall': 0.5206532228368161, 'f1-score': 0.4628878152592426, 'support': 8517}, 'weighted avg': {'precision': 0.5377962508372035, 'recall': 0.4886697193847599, 'f1-score': 0.4493889297658716, 'support': 8517}};{'-1': {'precision': 0.5937673900946021, 'recall': 0.2258201058201058, 'f1-score': 0.3272002453235203, 'support': 4725}, '1': {'precision': 0.4533771667662881, 'recall': 0.80605738575983, 'f1-score': 0.5803366488140781, 'support': 3764}, 'accuracy': 0.4830957709977618, 'macro avg': {'precision': 0.5235722784304451, 'recall': 0.5159387457899679, 'f1-score': 0.4537684470687992, 'support': 8489}, 'weighted avg': {'precision': 0.5315187388273416, 'recall': 0.4830957709977618, 'f1-score': 0.4394402527140798, 'support': 8489}};{'-1': {'precision': 0.5789218067022827, 'recall': 0.2541036026433596, 'f1-score': 0.35318518518518516, 'support': 4691}, '1': {'precision': 0.4536227357901312, 'recall': 0.7701484623541888, 'f1-score': 0.5709512578616351, 'support': 3772}, 'accuracy': 0.48410729055890345, 'macro avg': {'precision': 0.5162722712462069, 'recall': 0.5121260324987742, 'f1-score': 0.46206822152341015, 'support': 8463}, 'weighted avg': {'precision': 0.5230754052511855, 'recall': 0.48410729055890345, 'f1-score': 0.4502445761973049, 'support': 8463}};{'-1': {'precision': 0.6005235602094241, 'recall': 0.24321458863443596, 'f1-score': 0.34621189254452156, 'support': 4716}, '1': {'precision': 0.4564422784038989, 'recall': 0.7970744680851064, 'f1-score': 0.5804764671702498, 'support': 3760}, 'accuracy': 0.48890986314299195, 'macro avg': {'precision': 0.5284829193066615, 'recall': 0.5201445283597712, 'f1-score': 0.4633441798573857, 'support': 8476}, 'weighted avg': {'precision': 0.5366083148591675, 'recall': 0.48890986314299195, 'f1-score': 0.45013294027844536, 'support': 8476}};{'-1': {'precision': 0.5871034841393655, 'recall': 0.23743427970557307, 'f1-score': 0.3381251871817909, 'support': 4755}, '1': {'precision': 0.45068928950159065, 'recall': 0.7893340408596444, 'f1-score': 0.5737704918032787, 'support': 3769}, 'accuracy': 0.48146410136086343, 'macro avg': {'precision': 0.5188963868204781, 'recall': 0.5133841602826088, 'f1-score': 0.4559478394925348, 'support': 8524}, 'weighted avg': {'precision': 0.5267861331785756, 'recall': 0.48146410136086343, 'f1-score': 0.4423188935541968, 'support': 8524}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.5870609981515712, 'recall': 0.3345270697282494, 'f1-score': 0.42619431025228127, 'support': 4747}, '1': {'precision': 0.4564693737095664, 'recall': 0.7037135278514589, 'f1-score': 0.5537466082237529, 'support': 3770}, 'accuracy': 0.49794528589879067, 'macro avg': {'precision': 0.5217651859305688, 'recall': 0.5191202987898542, 'f1-score': 0.4899704592380171, 'support': 8517}, 'weighted avg': {'precision': 0.5292553830116912, 'recall': 0.49794528589879067, 'f1-score': 0.4826545853905281, 'support': 8517}};{'-1': {'precision': 0.5865243004418262, 'recall': 0.33714285714285713, 'f1-score': 0.42816825695471045, 'support': 4725}, '1': {'precision': 0.457474450025983, 'recall': 0.7016471838469713, 'f1-score': 0.5538429275453497, 'support': 3764}, 'accuracy': 0.4987631051949582, 'macro avg': {'precision': 0.5219993752339046, 'recall': 0.5193950204949143, 'f1-score': 0.49100559225003004, 'support': 8489}, 'weighted avg': {'precision': 0.5293039403328341, 'recall': 0.4987631051949582, 'f1-score': 0.48389207131484313, 'support': 8489}};{'-1': {'precision': 0.5736806031528444, 'recall': 0.3568535493498188, 'f1-score': 0.44000525693257986, 'support': 4691}, '1': {'precision': 0.4559062218214608, 'recall': 0.6702014846235419, 'f1-score': 0.5426639476226253, 'support': 3772}, 'accuracy': 0.4965142384497223, 'macro avg': {'precision': 0.5147934124871526, 'recall': 0.5135275169866803, 'f1-score': 0.49133460227760256, 'support': 8463}, 'weighted avg': {'precision': 0.5211879922132273, 'recall': 0.4965142384497223, 'f1-score': 0.48576073150221843, 'support': 8463}};{'-1': {'precision': 0.5925399644760213, 'recall': 0.35368956743002544, 'f1-score': 0.44296906121365026, 'support': 4716}, '1': {'precision': 0.4615792262851086, 'recall': 0.6949468085106383, 'f1-score': 0.554718182783144, 'support': 3760}, 'accuracy': 0.5050731477111845, 'macro avg': {'precision': 0.527059595380565, 'recall': 0.5243181879703318, 'f1-score': 0.49884362199839716, 'support': 8476}, 'weighted avg': {'precision': 0.5344450640987405, 'recall': 0.5050731477111845, 'f1-score': 0.4925415832878947, 'support': 8476}};{'-1': {'precision': 0.5777460770328102, 'recall': 0.34069400630914826, 'f1-score': 0.4286281254134145, 'support': 4755}, '1': {'precision': 0.4519230769230769, 'recall': 0.6858583178561953, 'f1-score': 0.5448413952998209, 'support': 3769}, 'accuracy': 0.49331299859221023, 'macro avg': {'precision': 0.5148345769779435, 'recall': 0.5132761620826718, 'f1-score': 0.48673476035661767, 'support': 8524}, 'weighted avg': {'precision': 0.5221117636337506, 'recall': 0.49331299859221023, 'f1-score': 0.48001336875009515, 'support': 8524}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.5754001684919966, 'recall': 0.4316410364440699, 'f1-score': 0.49325950890707754, 'support': 4747}, '1': {'precision': 0.4556093623890234, 'recall': 0.5989389920424403, 'f1-score': 0.5175338070135228, 'support': 3770}, 'accuracy': 0.5056944933662088, 'macro avg': {'precision': 0.51550476544051, 'recall': 0.515290014243255, 'f1-score': 0.5053966579603002, 'support': 8517}, 'weighted avg': {'precision': 0.5223754721190708, 'recall': 0.5056944933662088, 'f1-score': 0.5040043843164116, 'support': 8517}};{'-1': {'precision': 0.5818540433925049, 'recall': 0.43703703703703706, 'f1-score': 0.4991539763113367, 'support': 4725}, '1': {'precision': 0.46153846153846156, 'recall': 0.6057385759829969, 'f1-score': 0.5238970588235294, 'support': 3764}, 'accuracy': 0.5118388502768288, 'macro avg': {'precision': 0.5216962524654832, 'recall': 0.5213878065100169, 'f1-score': 0.511525517567433, 'support': 8489}, 'weighted avg': {'precision': 0.528506434710844, 'recall': 0.5118388502768288, 'f1-score': 0.5101249932245059, 'support': 8489}};{'-1': {'precision': 0.573661897191309, 'recall': 0.46152206352590064, 'f1-score': 0.5115180153573538, 'support': 4691}, '1': {'precision': 0.46129238643634035, 'recall': 0.5734358430540827, 'f1-score': 0.5112870819052121, 'support': 3772}, 'accuracy': 0.511402575918705, 'macro avg': {'precision': 0.5174771418138246, 'recall': 0.5174789532899917, 'f1-score': 0.511402548631283, 'support': 8463}, 'weighted avg': {'precision': 0.5235782631882674, 'recall': 0.511402575918705, 'f1-score': 0.5114150872016787, 'support': 8463}};{'-1': {'precision': 0.5846361185983827, 'recall': 0.4599236641221374, 'f1-score': 0.5148350344172798, 'support': 4716}, '1': {'precision': 0.46558959295006297, 'recall': 0.5901595744680851, 'f1-score': 0.5205254515599342, 'support': 3760}, 'accuracy': 0.5176970268994809, 'macro avg': {'precision': 0.5251128557742228, 'recall': 0.5250416192951113, 'f1-score': 0.517680242988607, 'support': 8476}, 'weighted avg': {'precision': 0.5318264281267354, 'recall': 0.5176970268994809, 'f1-score': 0.5173593346126999, 'support': 8476}};{'-1': {'precision': 0.5712317442821714, 'recall': 0.4359621451104101, 'f1-score': 0.494513358778626, 'support': 4755}, '1': {'precision': 0.452093973442288, 'recall': 0.5871583974529053, 'f1-score': 0.5108494921514312, 'support': 3769}, 'accuracy': 0.502815579540122, 'macro avg': {'precision': 0.5116628588622297, 'recall': 0.5115602712816577, 'f1-score': 0.5026814254650286, 'support': 8524}, 'weighted avg': {'precision': 0.518553393942481, 'recall': 0.502815579540122, 'f1-score': 0.5017365974790134, 'support': 8524}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.570185482024273, 'recall': 0.5245418158837161, 'f1-score': 0.5464121132323897, 'support': 4747}, '1': {'precision': 0.456144578313253, 'recall': 0.5021220159151194, 'f1-score': 0.4780303030303031, 'support': 3770}, 'accuracy': 0.5146178231771751, 'macro avg': {'precision': 0.513165030168763, 'recall': 0.5133319158994177, 'f1-score': 0.5122212081313464, 'support': 8517}, 'weighted avg': {'precision': 0.5197059461559455, 'recall': 0.5146178231771751, 'f1-score': 0.5161433067909355, 'support': 8517}};{'-1': {'precision': 0.5793382849426063, 'recall': 0.5447619047619048, 'f1-score': 0.5615183246073299, 'support': 4725}, '1': {'precision': 0.46836381611468114, 'recall': 0.5034537725823592, 'f1-score': 0.4852752880921895, 'support': 3764}, 'accuracy': 0.5264459889268465, 'macro avg': {'precision': 0.5238510505286438, 'recall': 0.5241078386721321, 'f1-score': 0.5233968063497597, 'support': 8489}, 'weighted avg': {'precision': 0.5301325009081723, 'recall': 0.5264459889268465, 'f1-score': 0.5277123651959753, 'support': 8489}};{'-1': {'precision': 0.5714898177920686, 'recall': 0.5683223193348966, 'f1-score': 0.5699016673792219, 'support': 4691}, '1': {'precision': 0.466824644549763, 'recall': 0.4700424178154825, 'f1-score': 0.46842800528401585, 'support': 3772}, 'accuracy': 0.5245184922604278, 'macro avg': {'precision': 0.5191572311709158, 'recall': 0.5191823685751895, 'f1-score': 0.5191648363316188, 'support': 8463}, 'weighted avg': {'precision': 0.5248400442519556, 'recall': 0.5245184922604278, 'f1-score': 0.5246743657813113, 'support': 8463}};{'-1': {'precision': 0.5809690091663029, 'recall': 0.5644614079728584, 'f1-score': 0.5725962572596258, 'support': 4716}, '1': {'precision': 0.47252182845403184, 'recall': 0.48936170212765956, 'f1-score': 0.48079435589234387, 'support': 3760}, 'accuracy': 0.5311467673430864, 'macro avg': {'precision': 0.5267454188101673, 'recall': 0.526911555050259, 'f1-score': 0.5266953065759848, 'support': 8476}, 'weighted avg': {'precision': 0.5328612461320722, 'recall': 0.5311467673430864, 'f1-score': 0.5318724312637575, 'support': 8476}};{'-1': {'precision': 0.5718982902235862, 'recall': 0.5486855941114617, 'f1-score': 0.5600515187292048, 'support': 4755}, '1': {'precision': 0.45835436648157496, 'recall': 0.48182541788272754, 'f1-score': 0.46979692148493085, 'support': 3769}, 'accuracy': 0.5191224777099953, 'macro avg': {'precision': 0.5151263283525805, 'recall': 0.5152555059970946, 'f1-score': 0.5149242201070678, 'support': 8524}, 'weighted avg': {'precision': 0.5216933337965988, 'recall': 0.5191224777099953, 'f1-score': 0.5201442478453863, 'support': 8524}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.5673445894090561, 'recall': 0.6229197387823889, 'f1-score': 0.5938347223616829, 'support': 4747}, '1': {'precision': 0.4583963691376702, 'recall': 0.40185676392572944, 'f1-score': 0.4282685512367491, 'support': 3770}, 'accuracy': 0.525067512034754, 'macro avg': {'precision': 0.5128704792733632, 'recall': 0.5123882513540592, 'f1-score': 0.511051636799216, 'support': 8517}, 'weighted avg': {'precision': 0.5191192999382184, 'recall': 0.525067512034754, 'f1-score': 0.5205478296599099, 'support': 8517}};{'-1': {'precision': 0.577639751552795, 'recall': 0.6495238095238095, 'f1-score': 0.6114763897190676, 'support': 4725}, '1': {'precision': 0.47858942065491183, 'recall': 0.4038257173219979, 'f1-score': 0.43804034582132567, 'support': 3764}, 'accuracy': 0.5405819295558959, 'macro avg': {'precision': 0.5281145861038534, 'recall': 0.5266747634229036, 'f1-score': 0.5247583677701966, 'support': 8489}, 'weighted avg': {'precision': 0.533721098531281, 'recall': 0.5405819295558959, 'f1-score': 0.5345753095881806, 'support': 8489}};{'-1': {'precision': 0.5648283418553689, 'recall': 0.6593476870603283, 'f1-score': 0.608439067571555, 'support': 4691}, '1': {'precision': 0.46501506528289255, 'recall': 0.36823966065747615, 'f1-score': 0.4110075454948957, 'support': 3772}, 'accuracy': 0.5295994328252392, 'macro avg': {'precision': 0.5149217035691307, 'recall': 0.5137936738589022, 'f1-score': 0.5097233065332254, 'support': 8463}, 'weighted avg': {'precision': 0.5203410821092528, 'recall': 0.5295994328252392, 'f1-score': 0.5204428840346107, 'support': 8463}};{'-1': {'precision': 0.5757519494987003, 'recall': 0.65754877014419, 'f1-score': 0.6139378340922589, 'support': 4716}, '1': {'precision': 0.4773462783171521, 'recall': 0.39228723404255317, 'f1-score': 0.43065693430656937, 'support': 3760}, 'accuracy': 0.5398773006134969, 'macro avg': {'precision': 0.5265491139079262, 'recall': 0.5249180020933716, 'f1-score': 0.5222973841994141, 'support': 8476}, 'weighted avg': {'precision': 0.5320986550623362, 'recall': 0.5398773006134969, 'f1-score': 0.5326334236163041, 'support': 8476}};{'-1': {'precision': 0.5665124884366327, 'recall': 0.6439537329127234, 'f1-score': 0.602755905511811, 'support': 4755}, '1': {'precision': 0.45719781981404295, 'recall': 0.37834969487927833, 'f1-score': 0.4140534262485482, 'support': 3769}, 'accuracy': 0.5265133740028156, 'macro avg': {'precision': 0.5118551541253378, 'recall': 0.5111517138960009, 'f1-score': 0.5084046658801796, 'support': 8524}, 'weighted avg': {'precision': 0.5181775534250723, 'recall': 0.5265133740028156, 'f1-score': 0.5193185938807414, 'support': 8524}}
