Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.5912408759124088, 'recall': 0.017063408468506427, 'f1-score': 0.03316953316953318, 'support': 4747}, '1': {'precision': 0.4431980906921241, 'recall': 0.9851458885941644, 'f1-score': 0.611358024691358, 'support': 3770}, 'accuracy': 0.44557942937654105, 'macro avg': {'precision': 0.5172194833022665, 'recall': 0.5011046485313354, 'f1-score': 0.3222637789304456, 'support': 8517}, 'weighted avg': {'precision': 0.5257106070054611, 'recall': 0.44557942937654105, 'f1-score': 0.28910127122721546, 'support': 8517}};{'-1': {'precision': 0.6158940397350994, 'recall': 0.019682539682539683, 'f1-score': 0.03814602132895817, 'support': 4725}, '1': {'precision': 0.4444710961861358, 'recall': 0.9845908607863975, 'f1-score': 0.6124607502892084, 'support': 3764}, 'accuracy': 0.4475203204146543, 'macro avg': {'precision': 0.5301825679606176, 'recall': 0.5021367002344685, 'f1-score': 0.3253033858090833, 'support': 8489}, 'weighted avg': {'precision': 0.5398855629394462, 'recall': 0.4475203204146543, 'f1-score': 0.2927956431697383, 'support': 8489}};{'-1': {'precision': 0.48186528497409326, 'recall': 0.019825197186101044, 'f1-score': 0.03808353808353808, 'support': 4691}, '1': {'precision': 0.44401451027811367, 'recall': 0.9734888653234358, 'f1-score': 0.609865470852018, 'support': 3772}, 'accuracy': 0.44487770294221907, 'macro avg': {'precision': 0.46293989762610344, 'recall': 0.49665703125476846, 'f1-score': 0.32397450446777804, 'support': 8463}, 'weighted avg': {'precision': 0.46499501176681035, 'recall': 0.44487770294221907, 'f1-score': 0.2929295088270931, 'support': 8463}};{'-1': {'precision': 0.6493506493506493, 'recall': 0.021204410517387615, 'f1-score': 0.04106776180698152, 'support': 4716}, '1': {'precision': 0.44532564287430904, 'recall': 0.9856382978723405, 'f1-score': 0.6134745902996193, 'support': 3760}, 'accuracy': 0.449032562529495, 'macro avg': {'precision': 0.5473381461124792, 'recall': 0.503421354194864, 'f1-score': 0.32727117605330036, 'support': 8476}, 'weighted avg': {'precision': 0.5588440395876668, 'recall': 0.449032562529495, 'f1-score': 0.2949905644417524, 'support': 8476}};{'-1': {'precision': 0.6, 'recall': 0.013249211356466877, 'f1-score': 0.02592592592592593, 'support': 4755}, '1': {'precision': 0.44268915548164867, 'recall': 0.9888564605996285, 'f1-score': 0.6115851657367903, 'support': 3769}, 'accuracy': 0.4446269357109338, 'macro avg': {'precision': 0.5213445777408243, 'recall': 0.5010528359780477, 'f1-score': 0.3187555458313581, 'support': 8524}, 'weighted avg': {'precision': 0.5304429172935633, 'recall': 0.4446269357109338, 'f1-score': 0.28488295019236753, 'support': 8524}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.6610878661087866, 'recall': 0.03328417948177796, 'f1-score': 0.06337745687926193, 'support': 4747}, '1': {'precision': 0.44563904324716114, 'recall': 0.9785145888594164, 'f1-score': 0.6123837981407703, 'support': 3770}, 'accuracy': 0.45168486556299164, 'macro avg': {'precision': 0.5533634546779739, 'recall': 0.5058993841705972, 'f1-score': 0.3378806275100161, 'support': 8517}, 'weighted avg': {'precision': 0.5657207107502885, 'recall': 0.45168486556299164, 'f1-score': 0.3063918876126054, 'support': 8517}};{'-1': {'precision': 0.643979057591623, 'recall': 0.02603174603174603, 'f1-score': 0.0500406834825061, 'support': 4725}, '1': {'precision': 0.44540853217642806, 'recall': 0.9819341126461212, 'f1-score': 0.6128336925882938, 'support': 3764}, 'accuracy': 0.44987631051949584, 'macro avg': {'precision': 0.5446937948840256, 'recall': 0.5039829293389336, 'f1-score': 0.33143718803539995, 'support': 8489}, 'weighted avg': {'precision': 0.5559334152706437, 'recall': 0.44987631051949584, 'f1-score': 0.29958160541373297, 'support': 8489}};{'-1': {'precision': 0.6141304347826086, 'recall': 0.024088680451929228, 'f1-score': 0.04635897435897436, 'support': 4691}, '1': {'precision': 0.4470346660224665, 'recall': 0.9811770943796394, 'f1-score': 0.6142228860675463, 'support': 3772}, 'accuracy': 0.45066761195793453, 'macro avg': {'precision': 0.5305825504025375, 'recall': 0.5026328874157843, 'f1-score': 0.33029093021326034, 'support': 8463}, 'weighted avg': {'precision': 0.5396550431055134, 'recall': 0.45066761195793453, 'f1-score': 0.29945866418110995, 'support': 8463}};{'-1': {'precision': 0.6730769230769231, 'recall': 0.029686174724342665, 'f1-score': 0.05686433793663688, 'support': 4716}, '1': {'precision': 0.44654088050314467, 'recall': 0.9819148936170212, 'f1-score': 0.6139008979048887, 'support': 3760}, 'accuracy': 0.45210004719207175, 'macro avg': {'precision': 0.5598089017900338, 'recall': 0.5058005341706819, 'f1-score': 0.3353826179207628, 'support': 8476}, 'weighted avg': {'precision': 0.5725842944693952, 'recall': 0.45210004719207175, 'f1-score': 0.30396880531283166, 'support': 8476}};{'-1': {'precision': 0.5950413223140496, 'recall': 0.015141955835962145, 'f1-score': 0.029532403609515995, 'support': 4755}, '1': {'precision': 0.44269903605855054, 'recall': 0.9869992040329, 'f1-score': 0.6112389089714099, 'support': 3769}, 'accuracy': 0.44486156733927734, 'macro avg': {'precision': 0.5188701791863001, 'recall': 0.501070579934431, 'f1-score': 0.32038565629046295, 'support': 8524}, 'weighted avg': {'precision': 0.527681153743311, 'recall': 0.44486156733927734, 'f1-score': 0.2867416737536946, 'support': 8524}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.5990783410138248, 'recall': 0.02738571729513377, 'f1-score': 0.05237711522965351, 'support': 4747}, '1': {'precision': 0.44373493975903616, 'recall': 0.9769230769230769, 'f1-score': 0.6102734051367026, 'support': 3770}, 'accuracy': 0.4476928495949278, 'macro avg': {'precision': 0.5214066403864305, 'recall': 0.5021543971091054, 'f1-score': 0.33132526018317804, 'support': 8517}, 'weighted avg': {'precision': 0.530316497321145, 'recall': 0.4476928495949278, 'f1-score': 0.29932662948931954, 'support': 8517}};{'-1': {'precision': 0.6330275229357798, 'recall': 0.029206349206349208, 'f1-score': 0.05583653651628565, 'support': 4725}, '1': {'precision': 0.44541167936162496, 'recall': 0.9787460148777896, 'f1-score': 0.6122143747403407, 'support': 3764}, 'accuracy': 0.450229709035222, 'macro avg': {'precision': 0.5392196011487024, 'recall': 0.5039761820420694, 'f1-score': 0.33402545562831315, 'support': 8489}, 'weighted avg': {'precision': 0.5498391573788097, 'recall': 0.450229709035222, 'f1-score': 0.3025329887574617, 'support': 8489}};{'-1': {'precision': 0.5, 'recall': 0.027073118738008953, 'f1-score': 0.051365015166835185, 'support': 4691}, '1': {'precision': 0.44402485077354126, 'recall': 0.9663308589607635, 'f1-score': 0.6084634003839413, 'support': 3772}, 'accuracy': 0.445704832801607, 'macro avg': {'precision': 0.47201242538677063, 'recall': 0.49670198884938627, 'f1-score': 0.32991420777538827, 'support': 8463}, 'weighted avg': {'precision': 0.47505160547297626, 'recall': 0.445704832801607, 'f1-score': 0.2996664578040707, 'support': 8463}};{'-1': {'precision': 0.6627906976744186, 'recall': 0.024173027989821884, 'f1-score': 0.046644844517184945, 'support': 4716}, '1': {'precision': 0.4458092485549133, 'recall': 0.9845744680851064, 'f1-score': 0.6137267904509284, 'support': 3760}, 'accuracy': 0.45021236432279377, 'macro avg': {'precision': 0.554299973114666, 'recall': 0.5043737480374642, 'f1-score': 0.3301858174840567, 'support': 8476}, 'weighted avg': {'precision': 0.566536539027729, 'recall': 0.45021236432279377, 'f1-score': 0.2982055000989305, 'support': 8476}};{'-1': {'precision': 0.5276381909547738, 'recall': 0.022082018927444796, 'f1-score': 0.0423899878885749, 'support': 4755}, '1': {'precision': 0.44144144144144143, 'recall': 0.975059697532502, 'f1-score': 0.607739374896643, 'support': 3769}, 'accuracy': 0.44345377756921633, 'macro avg': {'precision': 0.4845398161981076, 'recall': 0.4985708582299734, 'f1-score': 0.3250646813926089, 'support': 8524}, 'weighted avg': {'precision': 0.48952515142922837, 'recall': 0.44345377756921633, 'f1-score': 0.29236674054383166, 'support': 8524}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.6062378167641326, 'recall': 0.06551506214451232, 'f1-score': 0.11825095057034221, 'support': 4747}, '1': {'precision': 0.44577711144427784, 'recall': 0.9464190981432361, 'f1-score': 0.6060811958552743, 'support': 3770}, 'accuracy': 0.4554420570623459, 'macro avg': {'precision': 0.5260074641042052, 'recall': 0.5059670801438743, 'f1-score': 0.36216607321280825, 'support': 8517}, 'weighted avg': {'precision': 0.5352108284987982, 'recall': 0.4554420570623459, 'f1-score': 0.3341861419199012, 'support': 8517}};{'-1': {'precision': 0.6529284164859002, 'recall': 0.0637037037037037, 'f1-score': 0.11608175858079446, 'support': 4725}, '1': {'precision': 0.44892874937717986, 'recall': 0.9574920297555791, 'f1-score': 0.6112618724559024, 'support': 3764}, 'accuracy': 0.46000706797031454, 'macro avg': {'precision': 0.55092858293154, 'recall': 0.5105978667296414, 'f1-score': 0.36367181551834843, 'support': 8489}, 'weighted avg': {'precision': 0.5624755071918462, 'recall': 0.46000706797031454, 'f1-score': 0.3356433027704406, 'support': 8489}};{'-1': {'precision': 0.6155339805825243, 'recall': 0.06757620976337668, 'f1-score': 0.12178255858624663, 'support': 4691}, '1': {'precision': 0.44967287367891295, 'recall': 0.9475079533404029, 'f1-score': 0.6098976109215017, 'support': 3772}, 'accuracy': 0.4597660404112017, 'macro avg': {'precision': 0.5326034271307186, 'recall': 0.5075420815518898, 'f1-score': 0.3658400847538742, 'support': 8463}, 'weighted avg': {'precision': 0.5416088836617607, 'recall': 0.4597660404112017, 'f1-score': 0.33933779637527917, 'support': 8463}};{'-1': {'precision': 0.6360153256704981, 'recall': 0.07039864291772689, 'f1-score': 0.1267659411989309, 'support': 4716}, '1': {'precision': 0.4488307769675635, 'recall': 0.949468085106383, 'f1-score': 0.6095270616356497, 'support': 3760}, 'accuracy': 0.4603586597451628, 'macro avg': {'precision': 0.5424230513190308, 'recall': 0.5099333640120549, 'f1-score': 0.36814650141729033, 'support': 8476}, 'weighted avg': {'precision': 0.552979235165185, 'recall': 0.4603586597451628, 'f1-score': 0.3409214169943606, 'support': 8476}};{'-1': {'precision': 0.5965665236051502, 'recall': 0.05846477392218717, 'f1-score': 0.10649300900210688, 'support': 4755}, '1': {'precision': 0.4444030776867709, 'recall': 0.950119395065004, 'f1-score': 0.6055635410501395, 'support': 3769}, 'accuracy': 0.4527217268887846, 'macro avg': {'precision': 0.5204848006459606, 'recall': 0.5042920844935955, 'f1-score': 0.3560282750261232, 'support': 8524}, 'weighted avg': {'precision': 0.5292854316686918, 'recall': 0.4527217268887846, 'f1-score': 0.3271636841885258, 'support': 8524}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.5966228893058161, 'recall': 0.13397935538234673, 'f1-score': 0.21881988646137962, 'support': 4747}, '1': {'precision': 0.44826197825795194, 'recall': 0.8859416445623343, 'f1-score': 0.5953123607521611, 'support': 3770}, 'accuracy': 0.4668310437947634, 'macro avg': {'precision': 0.522442433781884, 'recall': 0.5099604999723405, 'f1-score': 0.40706612360677036, 'support': 8517}, 'weighted avg': {'precision': 0.5309518038707512, 'recall': 0.4668310437947634, 'f1-score': 0.3854720677548217, 'support': 8517}};{'-1': {'precision': 0.6004415011037527, 'recall': 0.11513227513227513, 'f1-score': 0.19321612502219854, 'support': 4725}, '1': {'precision': 0.4486351048397732, 'recall': 0.9038257173219979, 'f1-score': 0.5996298581122763, 'support': 3764}, 'accuracy': 0.4648368476852397, 'macro avg': {'precision': 0.524538302971763, 'recall': 0.5094789962271365, 'f1-score': 0.3964229915672374, 'support': 8489}, 'weighted avg': {'precision': 0.5331309491497395, 'recall': 0.4648368476852397, 'f1-score': 0.37341889229173003, 'support': 8489}};{'-1': {'precision': 0.5720680393912265, 'recall': 0.1362182903432104, 'f1-score': 0.22004132231404958, 'support': 4691}, '1': {'precision': 0.4484072964878846, 'recall': 0.8732767762460233, 'f1-score': 0.5925526173772261, 'support': 3772}, 'accuracy': 0.46472881956752926, 'macro avg': {'precision': 0.5102376679395555, 'recall': 0.5047475332946169, 'f1-score': 0.40629696984563785, 'support': 8463}, 'weighted avg': {'precision': 0.51695184865137, 'recall': 0.46472881956752926, 'f1-score': 0.3860714067968928, 'support': 8463}};{'-1': {'precision': 0.6001955034213099, 'recall': 0.13019508057675996, 'f1-score': 0.2139745600278794, 'support': 4716}, '1': {'precision': 0.4496176036495371, 'recall': 0.8912234042553191, 'f1-score': 0.5976990992597877, 'support': 3760}, 'accuracy': 0.4677914110429448, 'macro avg': {'precision': 0.5249065535354235, 'recall': 0.5107092424160395, 'f1-score': 0.40583682964383355, 'support': 8476}, 'weighted avg': {'precision': 0.533398322776918, 'recall': 0.4677914110429448, 'f1-score': 0.38419686624684773, 'support': 8476}};{'-1': {'precision': 0.594088669950739, 'recall': 0.12681388012618297, 'f1-score': 0.20901213171577124, 'support': 4755}, '1': {'precision': 0.44706352377147424, 'recall': 0.8906871849296896, 'f1-score': 0.5953183188508602, 'support': 3769}, 'accuracy': 0.4645706241201314, 'macro avg': {'precision': 0.5205760968611066, 'recall': 0.5087505325279362, 'f1-score': 0.4021652252833157, 'support': 8524}, 'weighted avg': {'precision': 0.5290795456018829, 'recall': 0.4645706241201314, 'f1-score': 0.3798225516256903, 'support': 8524}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.5804935370152762, 'recall': 0.20813145144301665, 'f1-score': 0.3064040936579315, 'support': 4747}, '1': {'precision': 0.44842259721203226, 'recall': 0.8106100795755968, 'f1-score': 0.577420878601795, 'support': 3770}, 'accuracy': 0.47481507573089116, 'macro avg': {'precision': 0.5144580671136543, 'recall': 0.5093707655093067, 'f1-score': 0.4419124861298632, 'support': 8517}, 'weighted avg': {'precision': 0.5220331116239142, 'recall': 0.47481507573089116, 'f1-score': 0.42636808088798495, 'support': 8517}};{'-1': {'precision': 0.5536876355748374, 'recall': 0.21608465608465607, 'f1-score': 0.3108540112650327, 'support': 4725}, '1': {'precision': 0.4425884123401053, 'recall': 0.7813496280552603, 'f1-score': 0.5650879046978576, 'support': 3764}, 'accuracy': 0.46672163976911296, 'macro avg': {'precision': 0.4981380239574713, 'recall': 0.4987171420699582, 'f1-score': 0.43797095798144514, 'support': 8489}, 'weighted avg': {'precision': 0.5044265357685549, 'recall': 0.46672163976911296, 'f1-score': 0.42358064277418017, 'support': 8489}};{'-1': {'precision': 0.5477636664826063, 'recall': 0.2114687699850778, 'f1-score': 0.3051368809597047, 'support': 4691}, '1': {'precision': 0.44392663860493087, 'recall': 0.7828738069989396, 'f1-score': 0.5665771297006907, 'support': 3772}, 'accuracy': 0.4661467564693371, 'macro avg': {'precision': 0.4958451525437686, 'recall': 0.4971712884920087, 'f1-score': 0.4358570053301977, 'support': 8463}, 'weighted avg': {'precision': 0.5014830013337712, 'recall': 0.4661467564693371, 'f1-score': 0.4216620633124164, 'support': 8463}};{'-1': {'precision': 0.5850746268656717, 'recall': 0.20780322307039864, 'f1-score': 0.3066812705366922, 'support': 4716}, '1': {'precision': 0.45066901926187325, 'recall': 0.8151595744680851, 'f1-score': 0.5804374585739986, 'support': 3760}, 'accuracy': 0.4772298253893346, 'macro avg': {'precision': 0.5178718230637724, 'recall': 0.5114813987692418, 'f1-score': 0.4435593645553454, 'support': 8476}, 'weighted avg': {'precision': 0.525451563558654, 'recall': 0.4772298253893346, 'f1-score': 0.42812101416815423, 'support': 8476}};{'-1': {'precision': 0.5516877637130801, 'recall': 0.21997896950578338, 'f1-score': 0.31453916704254997, 'support': 4755}, '1': {'precision': 0.4404043452021726, 'recall': 0.7744759883258159, 'f1-score': 0.5615081273444262, 'support': 3769}, 'accuracy': 0.46515720319099013, 'macro avg': {'precision': 0.4960460544576264, 'recall': 0.49722747891579966, 'f1-score': 0.4380236471934881, 'support': 8524}, 'weighted avg': {'precision': 0.5024823197469128, 'recall': 0.46515720319099013, 'f1-score': 0.4237397784195762, 'support': 8524}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.5741029641185648, 'recall': 0.31009058352643776, 'f1-score': 0.40268089180686645, 'support': 4747}, '1': {'precision': 0.44985721484965563, 'recall': 0.7103448275862069, 'f1-score': 0.550858788439782, 'support': 3770}, 'accuracy': 0.48726077257250205, 'macro avg': {'precision': 0.5119800894841102, 'recall': 0.5102177055563223, 'f1-score': 0.47676984012332424, 'support': 8517}, 'weighted avg': {'precision': 0.5191063133326322, 'recall': 0.48726077257250205, 'f1-score': 0.46827096698663534, 'support': 8517}};{'-1': {'precision': 0.5608646188850968, 'recall': 0.313015873015873, 'f1-score': 0.40179299103504484, 'support': 4725}, '1': {'precision': 0.44531784005468217, 'recall': 0.6923485653560042, 'f1-score': 0.5420133111480865, 'support': 3764}, 'accuracy': 0.4812109789138886, 'macro avg': {'precision': 0.5030912294698895, 'recall': 0.5026822191859386, 'f1-score': 0.47190315109156566, 'support': 8489}, 'weighted avg': {'precision': 0.5096314847682772, 'recall': 0.4812109789138886, 'f1-score': 0.46396630766898156, 'support': 8489}};{'-1': {'precision': 0.5609579100145138, 'recall': 0.3295672564485184, 'f1-score': 0.4152007519806633, 'support': 4691}, '1': {'precision': 0.4489223760294375, 'recall': 0.6792152704135737, 'f1-score': 0.5405633505644055, 'support': 3772}, 'accuracy': 0.48540706605222733, 'macro avg': {'precision': 0.5049401430219757, 'recall': 0.504391263431046, 'f1-score': 0.4778820512725344, 'support': 8463}, 'weighted avg': {'precision': 0.5110231310718566, 'recall': 0.48540706605222733, 'f1-score': 0.4710754680220051, 'support': 8463}};{'-1': {'precision': 0.5727204220045214, 'recall': 0.32230703986429177, 'f1-score': 0.41248303934871094, 'support': 4716}, '1': {'precision': 0.45104774991411883, 'recall': 0.698404255319149, 'f1-score': 0.5481110415362138, 'support': 3760}, 'accuracy': 0.4891458235016517, 'macro avg': {'precision': 0.5118840859593201, 'recall': 0.5103556475917204, 'f1-score': 0.48029704044246235, 'support': 8476}, 'weighted avg': {'precision': 0.5187457585949043, 'recall': 0.4891458235016517, 'f1-score': 0.47264836358479057, 'support': 8476}};{'-1': {'precision': 0.5671191553544495, 'recall': 0.3162986330178759, 'f1-score': 0.40610233562845954, 'support': 4755}, '1': {'precision': 0.44635558583106266, 'recall': 0.6954099230565136, 'f1-score': 0.5437195311689659, 'support': 3769}, 'accuracy': 0.4839277334584702, 'macro avg': {'precision': 0.506737370592756, 'recall': 0.5058542780371947, 'f1-score': 0.4749109333987127, 'support': 8524}, 'weighted avg': {'precision': 0.513721936497851, 'recall': 0.4839277334584702, 'f1-score': 0.466951609442651, 'support': 8524}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.5659293306521115, 'recall': 0.41499894670318094, 'f1-score': 0.478852698104035, 'support': 4747}, '1': {'precision': 0.44857029388403497, 'recall': 0.5992042440318303, 'f1-score': 0.5130592777651601, 'support': 3770}, 'accuracy': 0.49653633908653283, 'macro avg': {'precision': 0.5072498122680732, 'recall': 0.5071015953675055, 'f1-score': 0.4959559879345976, 'support': 8517}, 'weighted avg': {'precision': 0.5139810426850282, 'recall': 0.49653633908653283, 'f1-score': 0.4939940395766711, 'support': 8517}};{'-1': {'precision': 0.5579606949587013, 'recall': 0.4146031746031746, 'f1-score': 0.4757163671685284, 'support': 4725}, '1': {'precision': 0.44435516271595016, 'recall': 0.5876726886291179, 'f1-score': 0.5060626858842371, 'support': 3764}, 'accuracy': 0.4913417363647073, 'macro avg': {'precision': 0.5011579288373257, 'recall': 0.5011379316161463, 'f1-score': 0.49088952652638274, 'support': 8489}, 'weighted avg': {'precision': 0.5075883044107316, 'recall': 0.4913417363647073, 'f1-score': 0.4891718440970156, 'support': 8489}};{'-1': {'precision': 0.5450108459869848, 'recall': 0.42848006821573226, 'f1-score': 0.4797708557107053, 'support': 4691}, '1': {'precision': 0.4385340314136126, 'recall': 0.5551431601272534, 'f1-score': 0.48999648999649, 'support': 3772}, 'accuracy': 0.4849344204182914, 'macro avg': {'precision': 0.4917724387002987, 'recall': 0.49181161417149283, 'f1-score': 0.4848836728535977, 'support': 8463}, 'weighted avg': {'precision': 0.49755361515031227, 'recall': 0.4849344204182914, 'f1-score': 0.48432847033034143, 'support': 8463}};{'-1': {'precision': 0.5709788208357184, 'recall': 0.42302798982188294, 'f1-score': 0.48599269183922045, 'support': 4716}, '1': {'precision': 0.45383380168606985, 'recall': 0.6013297872340425, 'f1-score': 0.5172729352550904, 'support': 3760}, 'accuracy': 0.5021236432279377, 'macro avg': {'precision': 0.5124063112608941, 'recall': 0.5121788885279628, 'f1-score': 0.5016328135471555, 'support': 8476}, 'weighted avg': {'precision': 0.5190126490562612, 'recall': 0.5021236432279377, 'f1-score': 0.49986877905532134, 'support': 8476}};{'-1': {'precision': 0.5737609329446064, 'recall': 0.4138801261829653, 'f1-score': 0.4808796579108125, 'support': 4755}, '1': {'precision': 0.45288574793875147, 'recall': 0.6120986999204033, 'f1-score': 0.5205912219338824, 'support': 3769}, 'accuracy': 0.5015251055842328, 'macro avg': {'precision': 0.5133233404416789, 'recall': 0.5129894130516843, 'f1-score': 0.5007354399223475, 'support': 8524}, 'weighted avg': {'precision': 0.5203143618175454, 'recall': 0.5015251055842328, 'f1-score': 0.4984386542509053, 'support': 8524}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.5695681973954764, 'recall': 0.5251737939751422, 'f1-score': 0.5464708461201229, 'support': 4747}, '1': {'precision': 0.45555555555555555, 'recall': 0.5002652519893899, 'f1-score': 0.47686472819216175, 'support': 3770}, 'accuracy': 0.5141481742397558, 'macro avg': {'precision': 0.512561876475516, 'recall': 0.5127195229822661, 'f1-score': 0.5116677871561424, 'support': 8517}, 'weighted avg': {'precision': 0.5191011714783106, 'recall': 0.5141481742397558, 'f1-score': 0.5156601070584329, 'support': 8517}};{'-1': {'precision': 0.5653950953678474, 'recall': 0.526984126984127, 'f1-score': 0.5455142951035162, 'support': 4725}, '1': {'precision': 0.4528763769889841, 'recall': 0.4914984059511158, 'f1-score': 0.47139763027137216, 'support': 3764}, 'accuracy': 0.5112498527506184, 'macro avg': {'precision': 0.5091357361784157, 'recall': 0.5092412664676214, 'f1-score': 0.5084559626874442, 'support': 8489}, 'weighted avg': {'precision': 0.5155045951937348, 'recall': 0.5112498527506184, 'f1-score': 0.5126511632354293, 'support': 8489}};{'-1': {'precision': 0.5432098765432098, 'recall': 0.5346408015348539, 'f1-score': 0.538891276321444, 'support': 4691}, '1': {'precision': 0.4323972958918357, 'recall': 0.4408801696712619, 'f1-score': 0.4365975321606721, 'support': 3772}, 'accuracy': 0.49285123478671866, 'macro avg': {'precision': 0.48780358621752273, 'recall': 0.48776048560305796, 'f1-score': 0.487744404241058, 'support': 8463}, 'weighted avg': {'precision': 0.4938201738116746, 'recall': 0.49285123478671866, 'f1-score': 0.4932984601836168, 'support': 8463}};{'-1': {'precision': 0.5687369155617585, 'recall': 0.5184478371501272, 'f1-score': 0.5424292845257903, 'support': 4716}, '1': {'precision': 0.4563083552789083, 'recall': 0.5069148936170212, 'f1-score': 0.4802822225022048, 'support': 3760}, 'accuracy': 0.5133317602642756, 'macro avg': {'precision': 0.5125226354203334, 'recall': 0.5126813653835742, 'f1-score': 0.5113557535139975, 'support': 8476}, 'weighted avg': {'precision': 0.5188629907548311, 'recall': 0.5133317602642756, 'f1-score': 0.5148605076016891, 'support': 8476}};{'-1': {'precision': 0.5626130198915009, 'recall': 0.5234490010515247, 'f1-score': 0.5423248719904129, 'support': 4755}, '1': {'precision': 0.4473170731707317, 'recall': 0.48660122048288673, 'f1-score': 0.4661329266742915, 'support': 3769}, 'accuracy': 0.5071562646644767, 'macro avg': {'precision': 0.5049650465311163, 'recall': 0.5050251107672057, 'f1-score': 0.5042288993323523, 'support': 8524}, 'weighted avg': {'precision': 0.5116333831962195, 'recall': 0.5071562646644767, 'f1-score': 0.5086355897407107, 'support': 8524}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.5554476597397553, 'recall': 0.6024857804929429, 'f1-score': 0.5780113177041228, 'support': 4747}, '1': {'precision': 0.4397268408551069, 'recall': 0.39283819628647215, 'f1-score': 0.4149621742785094, 'support': 3770}, 'accuracy': 0.5096865093342726, 'macro avg': {'precision': 0.4975872502974311, 'recall': 0.49766198838970754, 'f1-score': 0.49648674599131615, 'support': 8517}, 'weighted avg': {'precision': 0.5042245192918129, 'recall': 0.5096865093342726, 'f1-score': 0.5058385725221852, 'support': 8517}};{'-1': {'precision': 0.5584236453201971, 'recall': 0.5997883597883598, 'f1-score': 0.5783673469387755, 'support': 4725}, '1': {'precision': 0.44610427650849444, 'recall': 0.40462274176408075, 'f1-score': 0.42435218723878515, 'support': 3764}, 'accuracy': 0.5132524443397338, 'macro avg': {'precision': 0.5022639609143458, 'recall': 0.5022055507762202, 'f1-score': 0.5013597670887803, 'support': 8489}, 'weighted avg': {'precision': 0.5086215362134414, 'recall': 0.5132524443397338, 'f1-score': 0.510077435157557, 'support': 8489}};{'-1': {'precision': 0.5449481367652709, 'recall': 0.6047751012577276, 'f1-score': 0.5733050419318986, 'support': 4691}, '1': {'precision': 0.43076450721522874, 'recall': 0.3719512195121951, 'f1-score': 0.3992033006117513, 'support': 3772}, 'accuracy': 0.5010043719721139, 'macro avg': {'precision': 0.4878563219902498, 'recall': 0.48836316038496136, 'f1-score': 0.4862541712718249, 'support': 8463}, 'weighted avg': {'precision': 0.49405594124798874, 'recall': 0.5010043719721139, 'f1-score': 0.4957070544263336, 'support': 8463}};{'-1': {'precision': 0.5588467614533965, 'recall': 0.6000848176420696, 'f1-score': 0.5787321063394683, 'support': 4716}, '1': {'precision': 0.44724501758499413, 'recall': 0.40585106382978725, 'f1-score': 0.42554378137200216, 'support': 3760}, 'accuracy': 0.513921661160925, 'macro avg': {'precision': 0.5030458895191954, 'recall': 0.5029679407359284, 'f1-score': 0.5021379438557352, 'support': 8476}, 'weighted avg': {'precision': 0.509339616934143, 'recall': 0.513921661160925, 'f1-score': 0.5107769267880675, 'support': 8476}};{'-1': {'precision': 0.5553187366789382, 'recall': 0.6027339642481598, 'f1-score': 0.5780556676079064, 'support': 4755}, '1': {'precision': 0.4382991376746952, 'recall': 0.3910851684797028, 'f1-score': 0.4133482893998879, 'support': 3769}, 'accuracy': 0.5091506335053966, 'macro avg': {'precision': 0.4968089371768167, 'recall': 0.49690956636393135, 'f1-score': 0.49570197850389713, 'support': 8524}, 'weighted avg': {'precision': 0.5035769641957152, 'recall': 0.5091506335053966, 'f1-score': 0.5052281091299592, 'support': 8524}}
