Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.7894736842105263, 'recall': 0.009479671371392459, 'f1-score': 0.018734388009991672, 'support': 4747}, '1': {'precision': 0.4442080378250591, 'recall': 0.996816976127321, 'f1-score': 0.6145543744889616, 'support': 3770}, 'accuracy': 0.4465187272513796, 'macro avg': {'precision': 0.6168408610177927, 'recall': 0.5031483237493567, 'f1-score': 0.31664438124947664, 'support': 8517}, 'weighted avg': {'precision': 0.6366438747854692, 'recall': 0.4465187272513796, 'f1-score': 0.2824706036992856, 'support': 8517}};{'-1': {'precision': 0.7857142857142857, 'recall': 0.01164021164021164, 'f1-score': 0.022940563086548484, 'support': 4725}, '1': {'precision': 0.4453022924337807, 'recall': 0.9960148777895855, 'f1-score': 0.6154477550685381, 'support': 3764}, 'accuracy': 0.44810931794086467, 'macro avg': {'precision': 0.6155082890740332, 'recall': 0.5038275447148985, 'f1-score': 0.3191941590775433, 'support': 8489}, 'weighted avg': {'precision': 0.6347765141619449, 'recall': 0.44810931794086467, 'f1-score': 0.2856566745979407, 'support': 8489}};{'-1': {'precision': 0.7241379310344828, 'recall': 0.013429972287358772, 'f1-score': 0.026370866471326915, 'support': 4691}, '1': {'precision': 0.447468958930277, 'recall': 0.9936373276776246, 'f1-score': 0.617056305564702, 'support': 3772}, 'accuracy': 0.45031312773248255, 'macro avg': {'precision': 0.5858034449823799, 'recall': 0.5035336499824917, 'f1-score': 0.3217135860180145, 'support': 8463}, 'weighted avg': {'precision': 0.6008252330813852, 'recall': 0.45031312773248255, 'f1-score': 0.2896422213407835, 'support': 8463}};{'-1': {'precision': 0.8548387096774194, 'recall': 0.011238337574215437, 'f1-score': 0.02218501465048137, 'support': 4716}, '1': {'precision': 0.4458046113620157, 'recall': 0.9976063829787234, 'f1-score': 0.6162313126334812, 'support': 3760}, 'accuracy': 0.4487966021708353, 'macro avg': {'precision': 0.6503216605197175, 'recall': 0.5044223602764694, 'f1-score': 0.3192081636419813, 'support': 8476}, 'weighted avg': {'precision': 0.6733889444973913, 'recall': 0.4487966021708353, 'f1-score': 0.28570720441169883, 'support': 8476}};{'-1': {'precision': 0.8493150684931506, 'recall': 0.013038906414300735, 'f1-score': 0.02568351284175642, 'support': 4755}, '1': {'precision': 0.44468110282806766, 'recall': 0.9970814539665693, 'f1-score': 0.6150572831423895, 'support': 3769}, 'accuracy': 0.44814641013608636, 'macro avg': {'precision': 0.6469980856606091, 'recall': 0.5050601801904351, 'f1-score': 0.32037039799207295, 'support': 8524}, 'weighted avg': {'precision': 0.670400777480516, 'recall': 0.44814641013608636, 'f1-score': 0.2862829661809265, 'support': 8524}}
OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.7588652482269503, 'recall': 0.022540551927533178, 'f1-score': 0.04378068739770868, 'support': 4747}, '1': {'precision': 0.44603629417383, 'recall': 0.9909814323607427, 'f1-score': 0.6151819529063065, 'support': 3770}, 'accuracy': 0.4512152166255724, 'macro avg': {'precision': 0.6024507712003901, 'recall': 0.506760992144138, 'f1-score': 0.3294813201520076, 'support': 8517}, 'weighted avg': {'precision': 0.6203933500491573, 'recall': 0.4512152166255724, 'f1-score': 0.29670809974564977, 'support': 8517}};{'-1': {'precision': 0.7835820895522388, 'recall': 0.022222222222222223, 'f1-score': 0.043218769294093434, 'support': 4725}, '1': {'precision': 0.44703770197486536, 'recall': 0.9922954303931987, 'f1-score': 0.6163874907170559, 'support': 3764}, 'accuracy': 0.45235010012957944, 'macro avg': {'precision': 0.6153098957635521, 'recall': 0.5072588263077105, 'f1-score': 0.32980313000557465, 'support': 8489}, 'weighted avg': {'precision': 0.6343592040720605, 'recall': 0.45235010012957944, 'f1-score': 0.29736025444382025, 'support': 8489}};{'-1': {'precision': 0.7132352941176471, 'recall': 0.02067789383926668, 'f1-score': 0.040190594572198056, 'support': 4691}, '1': {'precision': 0.44830070853848925, 'recall': 0.98966065747614, 'f1-score': 0.617075791387718, 'support': 3772}, 'accuracy': 0.45255819449367835, 'macro avg': {'precision': 0.5807680013280682, 'recall': 0.5051692756577033, 'f1-score': 0.328633192979958, 'support': 8463}, 'weighted avg': {'precision': 0.5951526689487255, 'recall': 0.45255819449367835, 'f1-score': 0.29731111476458144, 'support': 8463}};{'-1': {'precision': 0.7867647058823529, 'recall': 0.02268871925360475, 'f1-score': 0.044105523495465794, 'support': 4716}, '1': {'precision': 0.4473621103117506, 'recall': 0.9922872340425531, 'f1-score': 0.616694214876033, 'support': 3760}, 'accuracy': 0.45280792826805094, 'macro avg': {'precision': 0.6170634080970517, 'recall': 0.507487976648079, 'f1-score': 0.33039986918574943, 'support': 8476}, 'weighted avg': {'precision': 0.636203856502284, 'recall': 0.45280792826805094, 'f1-score': 0.2981090015028906, 'support': 8476}};{'-1': {'precision': 0.8513513513513513, 'recall': 0.026498422712933754, 'f1-score': 0.051397103813991436, 'support': 4755}, '1': {'precision': 0.4473495702005731, 'recall': 0.9941629079331388, 'f1-score': 0.6170440510498147, 'support': 3769}, 'accuracy': 0.45436414828718913, 'macro avg': {'precision': 0.6493504607759621, 'recall': 0.5103306653230363, 'f1-score': 0.3342205774319031, 'support': 8524}, 'weighted avg': {'precision': 0.6727165891320549, 'recall': 0.45436414828718913, 'f1-score': 0.30150542668257635, 'support': 8524}}
OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.7511961722488039, 'recall': 0.03307352011796924, 'f1-score': 0.06335754640839386, 'support': 4747}, '1': {'precision': 0.4475204622051035, 'recall': 0.9862068965517241, 'f1-score': 0.6156648451730419, 'support': 3770}, 'accuracy': 0.4549724081249266, 'macro avg': {'precision': 0.5993583172269537, 'recall': 0.5096402083348467, 'f1-score': 0.33951119579071787, 'support': 8517}, 'weighted avg': {'precision': 0.6167759037429039, 'recall': 0.4549724081249266, 'f1-score': 0.3078331265824837, 'support': 8517}};{'-1': {'precision': 0.7355371900826446, 'recall': 0.03767195767195767, 'f1-score': 0.0716730420777129, 'support': 4725}, '1': {'precision': 0.448647993209652, 'recall': 0.9829968119022316, 'f1-score': 0.6161019065856298, 'support': 3764}, 'accuracy': 0.4568264813287784, 'macro avg': {'precision': 0.5920925916461484, 'recall': 0.5103343847870947, 'f1-score': 0.34388747433167133, 'support': 8489}, 'weighted avg': {'precision': 0.6083312839653229, 'recall': 0.4568264813287784, 'f1-score': 0.3130713511845334, 'support': 8489}};{'-1': {'precision': 0.723404255319149, 'recall': 0.03623960775953954, 'f1-score': 0.06902151847340642, 'support': 4691}, '1': {'precision': 0.4505347593582888, 'recall': 0.9827677624602333, 'f1-score': 0.6178333333333335, 'support': 3772}, 'accuracy': 0.45811178069242586, 'macro avg': {'precision': 0.5869695073387189, 'recall': 0.5095036851098864, 'f1-score': 0.34342742590336994, 'support': 8463}, 'weighted avg': {'precision': 0.601785002245255, 'recall': 0.45811178069242586, 'f1-score': 0.3136295966550967, 'support': 8463}};{'-1': {'precision': 0.7136929460580913, 'recall': 0.0364715860899067, 'f1-score': 0.06939681258825903, 'support': 4716}, '1': {'precision': 0.44820886460230724, 'recall': 0.9816489361702128, 'f1-score': 0.6154230929553981, 'support': 3760}, 'accuracy': 0.45575743275129776, 'macro avg': {'precision': 0.5809509053301993, 'recall': 0.5090602611300598, 'f1-score': 0.34240995277182856, 'support': 8476}, 'weighted avg': {'precision': 0.5959227541900228, 'recall': 0.45575743275129776, 'f1-score': 0.31161705966004327, 'support': 8476}};{'-1': {'precision': 0.8230088495575221, 'recall': 0.039116719242902206, 'f1-score': 0.07468379843404939, 'support': 4755}, '1': {'precision': 0.4493853940708604, 'recall': 0.9893871053329796, 'f1-score': 0.618049225159526, 'support': 3769}, 'accuracy': 0.45929141248240263, 'macro avg': {'precision': 0.6361971218141913, 'recall': 0.5142519122879409, 'f1-score': 0.3463665117967877, 'support': 8524}, 'weighted avg': {'precision': 0.657806268172113, 'recall': 0.45929141248240263, 'f1-score': 0.31494005058425134, 'support': 8524}}
OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.6936416184971098, 'recall': 0.10111649462818623, 'f1-score': 0.17650303364589076, 'support': 4747}, '1': {'precision': 0.4546964856230032, 'recall': 0.9437665782493369, 'f1-score': 0.6137128072445018, 'support': 3770}, 'accuracy': 0.47411060232476226, 'macro avg': {'precision': 0.5741690520600565, 'recall': 0.5224415364387616, 'f1-score': 0.39510792044519627, 'support': 8517}, 'weighted avg': {'precision': 0.5878739595872375, 'recall': 0.47411060232476226, 'f1-score': 0.37003137067380715, 'support': 8517}};{'-1': {'precision': 0.6671388101983002, 'recall': 0.09968253968253968, 'f1-score': 0.17344872030933528, 'support': 4725}, '1': {'precision': 0.45342412951304123, 'recall': 0.9375664187035069, 'f1-score': 0.6112410149822465, 'support': 3764}, 'accuracy': 0.4711980209683119, 'macro avg': {'precision': 0.5602814698556707, 'recall': 0.5186244791930232, 'f1-score': 0.3923448676457909, 'support': 8489}, 'weighted avg': {'precision': 0.5723782897483868, 'recall': 0.4711980209683119, 'f1-score': 0.367564658246529, 'support': 8489}};{'-1': {'precision': 0.6543837357052097, 'recall': 0.10978469409507567, 'f1-score': 0.18802482657904343, 'support': 4691}, '1': {'precision': 0.4559666492965086, 'recall': 0.9278897136797455, 'f1-score': 0.6114605171208944, 'support': 3772}, 'accuracy': 0.4744180550632163, 'macro avg': {'precision': 0.5551751925008591, 'recall': 0.5188372038874106, 'f1-score': 0.3997426718499689, 'support': 8463}, 'weighted avg': {'precision': 0.5659482813824376, 'recall': 0.4744180550632163, 'f1-score': 0.37675216023423214, 'support': 8463}};{'-1': {'precision': 0.6873156342182891, 'recall': 0.09881255301102629, 'f1-score': 0.1727845754542084, 'support': 4716}, '1': {'precision': 0.45498845857912285, 'recall': 0.9436170212765957, 'f1-score': 0.6139470496625713, 'support': 3760}, 'accuracy': 0.47357243983010855, 'macro avg': {'precision': 0.571152046398706, 'recall': 0.521214787143811, 'f1-score': 0.39336581255838987, 'support': 8476}, 'weighted avg': {'precision': 0.5842540272806693, 'recall': 0.47357243983010855, 'f1-score': 0.36848666406008906, 'support': 8476}};{'-1': {'precision': 0.713276836158192, 'recall': 0.10620399579390116, 'f1-score': 0.18488010250777964, 'support': 4755}, '1': {'precision': 0.4562436028659161, 'recall': 0.9461395595648713, 'f1-score': 0.6156236512731981, 'support': 3769}, 'accuracy': 0.47759267949319567, 'macro avg': {'precision': 0.584760219512054, 'recall': 0.5261717776793862, 'f1-score': 0.40025187689048886, 'support': 8524}, 'weighted avg': {'precision': 0.5996261725872644, 'recall': 0.47759267949319567, 'f1-score': 0.37533909304002533, 'support': 8524}}
OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.6602409638554216, 'recall': 0.1731619970507689, 'f1-score': 0.274365821094793, 'support': 4747}, '1': {'precision': 0.46025852585258525, 'recall': 0.8877984084880637, 'f1-score': 0.6062307552979532, 'support': 3770}, 'accuracy': 0.48949160502524364, 'macro avg': {'precision': 0.5602497448540035, 'recall': 0.5304802027694163, 'f1-score': 0.4402982881963731, 'support': 8517}, 'weighted avg': {'precision': 0.5717199128667293, 'recall': 0.48949160502524364, 'f1-score': 0.4212638840214003, 'support': 8517}};{'-1': {'precision': 0.6461168935148118, 'recall': 0.1707936507936508, 'f1-score': 0.27017073987278206, 'support': 4725}, '1': {'precision': 0.45883977900552486, 'recall': 0.8825717321997875, 'f1-score': 0.6037804434751, 'support': 3764}, 'accuracy': 0.48639415714454, 'macro avg': {'precision': 0.5524783362601684, 'recall': 0.5266826914967191, 'f1-score': 0.436975591673941, 'support': 8489}, 'weighted avg': {'precision': 0.5630787195234163, 'recall': 0.48639415714454, 'f1-score': 0.4180923942913384, 'support': 8489}};{'-1': {'precision': 0.6406130268199234, 'recall': 0.178213600511618, 'f1-score': 0.27885256837891925, 'support': 4691}, '1': {'precision': 0.461441743503772, 'recall': 0.8756627783669141, 'f1-score': 0.604391582799634, 'support': 3772}, 'accuracy': 0.489070069715231, 'macro avg': {'precision': 0.5510273851618477, 'recall': 0.5269381894392661, 'f1-score': 0.44162207558927663, 'support': 8463}, 'weighted avg': {'precision': 0.5607555199466487, 'recall': 0.489070069715231, 'f1-score': 0.42394688037170386, 'support': 8463}};{'-1': {'precision': 0.6391382405745063, 'recall': 0.15097540288379982, 'f1-score': 0.24425385934819896, 'support': 4716}, '1': {'precision': 0.45612605270306983, 'recall': 0.8930851063829788, 'f1-score': 0.6038482287358389, 'support': 3760}, 'accuracy': 0.4801793298725814, 'macro avg': {'precision': 0.5476321466387881, 'recall': 0.5220302546333893, 'f1-score': 0.42405104404201893, 'support': 8476}, 'weighted avg': {'precision': 0.5579530321747186, 'recall': 0.4801793298725814, 'f1-score': 0.40377189012893583, 'support': 8476}};{'-1': {'precision': 0.689922480620155, 'recall': 0.16845425867507888, 'f1-score': 0.27079107505070993, 'support': 4755}, '1': {'precision': 0.46299062881977454, 'recall': 0.9044839479968161, 'f1-score': 0.6124685591088753, 'support': 3769}, 'accuracy': 0.49389957766306897, 'macro avg': {'precision': 0.5764565547199648, 'recall': 0.5364691033359474, 'f1-score': 0.44162981707979265, 'support': 8524}, 'weighted avg': {'precision': 0.5895815433330088, 'recall': 0.49389957766306897, 'f1-score': 0.42186832017215825, 'support': 8524}}
OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.6327204148986327, 'recall': 0.282704866231304, 'f1-score': 0.39079790331974373, 'support': 4747}, '1': {'precision': 0.46763602251407127, 'recall': 0.793368700265252, 'f1-score': 0.5884320283297265, 'support': 3770}, 'accuracy': 0.508747211459434, 'macro avg': {'precision': 0.550178218706352, 'recall': 0.538036783248278, 'f1-score': 0.4896149658247351, 'support': 8517}, 'weighted avg': {'precision': 0.5596467787251214, 'recall': 0.508747211459434, 'f1-score': 0.4782794873619693, 'support': 8517}};{'-1': {'precision': 0.6255181943804698, 'recall': 0.2874074074074074, 'f1-score': 0.3938515081206496, 'support': 4725}, '1': {'precision': 0.4670781893004115, 'recall': 0.7840063761955367, 'f1-score': 0.585399722277326, 'support': 3764}, 'accuracy': 0.507598068088114, 'macro avg': {'precision': 0.5462981918404407, 'recall': 0.535706891801472, 'f1-score': 0.4896256151989878, 'support': 8489}, 'weighted avg': {'precision': 0.5552663179378571, 'recall': 0.507598068088114, 'f1-score': 0.4787834763248821, 'support': 8489}};{'-1': {'precision': 0.6122262773722628, 'recall': 0.28607972713707097, 'f1-score': 0.38994624437018743, 'support': 4691}, '1': {'precision': 0.4659543932387179, 'recall': 0.7746553552492047, 'f1-score': 0.5818978392910485, 'support': 3772}, 'accuracy': 0.5038402457757296, 'macro avg': {'precision': 0.5390903353054903, 'recall': 0.5303675411931379, 'f1-score': 0.485922041830618, 'support': 8463}, 'weighted avg': {'precision': 0.5470321917109452, 'recall': 0.5038402457757296, 'f1-score': 0.47549999789039166, 'support': 8463}};{'-1': {'precision': 0.6114369501466276, 'recall': 0.2652671755725191, 'f1-score': 0.37000887311446323, 'support': 4716}, '1': {'precision': 0.46111975116640747, 'recall': 0.788563829787234, 'f1-score': 0.5819430814524043, 'support': 3760}, 'accuracy': 0.4974044360547428, 'macro avg': {'precision': 0.5362783506565175, 'recall': 0.5269155026798766, 'f1-score': 0.47597597728343377, 'support': 8476}, 'weighted avg': {'precision': 0.5447554178005177, 'recall': 0.4974044360547428, 'f1-score': 0.4640240481204399, 'support': 8476}};{'-1': {'precision': 0.6510739856801909, 'recall': 0.2868559411146162, 'f1-score': 0.3982481751824818, 'support': 4755}, '1': {'precision': 0.47254627469279825, 'recall': 0.8060493499602016, 'f1-score': 0.5958030986467934, 'support': 3769}, 'accuracy': 0.516424213984045, 'macro avg': {'precision': 0.5618101301864946, 'recall': 0.5464526455374089, 'f1-score': 0.4970256369146376, 'support': 8524}, 'weighted avg': {'precision': 0.5721355832034801, 'recall': 0.516424213984045, 'f1-score': 0.48559971278653974, 'support': 8524}}
OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.6102268879105994, 'recall': 0.3796081735833158, 'f1-score': 0.46805194805194805, 'support': 4747}, '1': {'precision': 0.47070452911574406, 'recall': 0.6946949602122016, 'f1-score': 0.5611742018427255, 'support': 3770}, 'accuracy': 0.5190794880826582, 'macro avg': {'precision': 0.5404657085131718, 'recall': 0.5371515668977587, 'f1-score': 0.5146130749473368, 'support': 8517}, 'weighted avg': {'precision': 0.5484681356907327, 'recall': 0.5190794880826582, 'f1-score': 0.5092719664611568, 'support': 8517}};{'-1': {'precision': 0.6118660921445144, 'recall': 0.3906878306878307, 'f1-score': 0.4768793593386722, 'support': 4725}, '1': {'precision': 0.47386695906432746, 'recall': 0.6888947927736451, 'f1-score': 0.5614984841922911, 'support': 3764}, 'accuracy': 0.5229120037695841, 'macro avg': {'precision': 0.542866525604421, 'recall': 0.5397913117307379, 'f1-score': 0.5191889217654817, 'support': 8489}, 'weighted avg': {'precision': 0.5506776439275485, 'recall': 0.5229120037695841, 'f1-score': 0.5143992540199093, 'support': 8489}};{'-1': {'precision': 0.6015287470920572, 'recall': 0.38584523555745043, 'f1-score': 0.4701298701298701, 'support': 4691}, '1': {'precision': 0.47176384305097174, 'recall': 0.6821314952279958, 'f1-score': 0.5577715152828963, 'support': 3772}, 'accuracy': 0.5179014533853243, 'macro avg': {'precision': 0.5366462950715145, 'recall': 0.5339883653927231, 'f1-score': 0.5139506927063832, 'support': 8463}, 'weighted avg': {'precision': 0.5436919022329086, 'recall': 0.5179014533853243, 'f1-score': 0.5091921749292574, 'support': 8463}};{'-1': {'precision': 0.5958188153310104, 'recall': 0.36259541984732824, 'f1-score': 0.45083047719483255, 'support': 4716}, '1': {'precision': 0.4637887977167321, 'recall': 0.6914893617021277, 'f1-score': 0.5551996583386718, 'support': 3760}, 'accuracy': 0.5084945729117508, 'macro avg': {'precision': 0.5298038065238713, 'recall': 0.5270423907747279, 'f1-score': 0.5030150677667522, 'support': 8476}, 'weighted avg': {'precision': 0.5372495767479893, 'recall': 0.5084945729117508, 'f1-score': 0.49712921729639403, 'support': 8476}};{'-1': {'precision': 0.6168745896257387, 'recall': 0.39516298633017877, 'f1-score': 0.4817331111395975, 'support': 4755}, '1': {'precision': 0.474990872581234, 'recall': 0.690368798089679, 'f1-score': 0.5627771169027792, 'support': 3769}, 'accuracy': 0.5256921633036133, 'macro avg': {'precision': 0.5459327311034864, 'recall': 0.5427658922099289, 'f1-score': 0.5222551140211884, 'support': 8524}, 'weighted avg': {'precision': 0.5541388165684019, 'recall': 0.5256921633036133, 'f1-score': 0.5175677964659035, 'support': 8524}}
OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.5954279638490165, 'recall': 0.4718769749315357, 'f1-score': 0.5265013515101657, 'support': 4747}, '1': {'precision': 0.47276550998948474, 'recall': 0.5962864721485411, 'f1-score': 0.5273900293255132, 'support': 3770}, 'accuracy': 0.5269461077844312, 'macro avg': {'precision': 0.5340967369192506, 'recall': 0.5340817235400384, 'f1-score': 0.5269456904178395, 'support': 8517}, 'weighted avg': {'precision': 0.5411321494718374, 'recall': 0.5269461077844312, 'f1-score': 0.5268947195228297, 'support': 8517}};{'-1': {'precision': 0.59571170240248, 'recall': 0.48804232804232806, 'f1-score': 0.5365286179618428, 'support': 4725}, '1': {'precision': 0.4761801645734084, 'recall': 0.5842189160467588, 'f1-score': 0.5246957766642806, 'support': 3764}, 'accuracy': 0.5306867711155613, 'macro avg': {'precision': 0.5359459334879442, 'recall': 0.5361306220445434, 'f1-score': 0.5306121973130618, 'support': 8489}, 'weighted avg': {'precision': 0.5427117367541557, 'recall': 0.5306867711155613, 'f1-score': 0.5312819676327082, 'support': 8489}};{'-1': {'precision': 0.593945720250522, 'recall': 0.48518439565124705, 'f1-score': 0.5340842426375689, 'support': 4691}, '1': {'precision': 0.4785143597495141, 'recall': 0.5874867444326617, 'f1-score': 0.5274306795192194, 'support': 3772}, 'accuracy': 0.5307810469100792, 'macro avg': {'precision': 0.5362300400000181, 'recall': 0.5363355700419543, 'f1-score': 0.5307574610783942, 'support': 8463}, 'weighted avg': {'precision': 0.5424974050183582, 'recall': 0.5307810469100792, 'f1-score': 0.53111871740037, 'support': 8463}};{'-1': {'precision': 0.5908113917248791, 'recall': 0.4662849872773537, 'f1-score': 0.5212135577150983, 'support': 4716}, '1': {'precision': 0.4705511148506521, 'recall': 0.5949468085106383, 'f1-score': 0.5254874324641766, 'support': 3760}, 'accuracy': 0.5233600755073148, 'macro avg': {'precision': 0.5306812532877656, 'recall': 0.530615897893996, 'f1-score': 0.5233504950896375, 'support': 8476}, 'weighted avg': {'precision': 0.5374632745650049, 'recall': 0.5233600755073148, 'f1-score': 0.5231094719501779, 'support': 8476}};{'-1': {'precision': 0.6044603947705717, 'recall': 0.49589905362776027, 'f1-score': 0.5448243992606285, 'support': 4755}, '1': {'precision': 0.48150551589876706, 'recall': 0.590607588219687, 'f1-score': 0.5305052430886559, 'support': 3769}, 'accuracy': 0.5377756921633036, 'macro avg': {'precision': 0.5429829553346693, 'recall': 0.5432533209237236, 'f1-score': 0.5376648211746422, 'support': 8524}, 'weighted avg': {'precision': 0.5500942593332381, 'recall': 0.5377756921633036, 'f1-score': 0.5384929938626739, 'support': 8524}}
OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.5845749342681859, 'recall': 0.5620391826416684, 'f1-score': 0.5730855976801633, 'support': 4747}, '1': {'precision': 0.4740703263344295, 'recall': 0.4970822281167109, 'f1-score': 0.485303638482455, 'support': 3770}, 'accuracy': 0.5332863684395914, 'macro avg': {'precision': 0.5293226303013077, 'recall': 0.5295607053791896, 'f1-score': 0.5291946180813092, 'support': 8517}, 'weighted avg': {'precision': 0.5356607189446845, 'recall': 0.5332863684395914, 'f1-score': 0.5342294292904298, 'support': 8517}};{'-1': {'precision': 0.5851154833190761, 'recall': 0.579047619047619, 'f1-score': 0.58206573768748, 'support': 4725}, '1': {'precision': 0.4783634933123525, 'recall': 0.48459086078639746, 'f1-score': 0.4814570410452686, 'support': 3764}, 'accuracy': 0.5371657439038756, 'macro avg': {'precision': 0.5317394883157143, 'recall': 0.5318192399170083, 'f1-score': 0.5317613893663743, 'support': 8489}, 'weighted avg': {'precision': 0.5377819351525892, 'recall': 0.5371657439038756, 'f1-score': 0.5374561094437194, 'support': 8489}};{'-1': {'precision': 0.5853658536585366, 'recall': 0.5832445107652953, 'f1-score': 0.5843032568072611, 'support': 4691}, '1': {'precision': 0.48403272631301136, 'recall': 0.48621420996818665, 'f1-score': 0.4851210157386589, 'support': 3772}, 'accuracy': 0.5399976367718303, 'macro avg': {'precision': 0.534699289985774, 'recall': 0.5347293603667409, 'f1-score': 0.53471213627296, 'support': 8463}, 'weighted avg': {'precision': 0.5402011890777353, 'recall': 0.5399976367718303, 'f1-score': 0.5400972526348911, 'support': 8463}};{'-1': {'precision': 0.5813697423475005, 'recall': 0.5597964376590331, 'f1-score': 0.5703791725180944, 'support': 4716}, '1': {'precision': 0.4724269377382465, 'recall': 0.4944148936170213, 'f1-score': 0.48317089018843407, 'support': 3760}, 'accuracy': 0.5307928268050968, 'macro avg': {'precision': 0.5268983400428735, 'recall': 0.5271056656380272, 'f1-score': 0.5267750313532642, 'support': 8476}, 'weighted avg': {'precision': 0.533042117839384, 'recall': 0.5307928268050968, 'f1-score': 0.5316931010740733, 'support': 8476}};{'-1': {'precision': 0.5956493921944978, 'recall': 0.5873817034700315, 'f1-score': 0.5914866581956797, 'support': 4755}, '1': {'precision': 0.48839634941329857, 'recall': 0.4969487927832316, 'f1-score': 0.49263545502367173, 'support': 3769}, 'accuracy': 0.5473955889253871, 'macro avg': {'precision': 0.5420228708038981, 'recall': 0.5421652481266316, 'f1-score': 0.5420610566096757, 'support': 8524}, 'weighted avg': {'precision': 0.5482260324757812, 'recall': 0.5473955889253871, 'f1-score': 0.5477782836349924, 'support': 8524}}
OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.5807407407407408, 'recall': 0.66062776490415, 'f1-score': 0.6181137281955257, 'support': 4747}, '1': {'precision': 0.48315688161693937, 'recall': 0.39946949602122017, 'f1-score': 0.4373457238275011, 'support': 3770}, 'accuracy': 0.5450275918750734, 'macro avg': {'precision': 0.5319488111788401, 'recall': 0.530048630462685, 'f1-score': 0.5277297260115134, 'support': 8517}, 'weighted avg': {'precision': 0.5375458189494139, 'recall': 0.5450275918750734, 'f1-score': 0.538097833342003, 'support': 8517}};{'-1': {'precision': 0.584744219916257, 'recall': 0.6797883597883598, 'f1-score': 0.6286944607555295, 'support': 4725}, '1': {'precision': 0.49499332443257676, 'recall': 0.39399574920297553, 'f1-score': 0.4387573964497041, 'support': 3764}, 'accuracy': 0.5530686771115562, 'macro avg': {'precision': 0.5398687721744169, 'recall': 0.5368920544956677, 'f1-score': 0.5337259286026168, 'support': 8489}, 'weighted avg': {'precision': 0.5449489117998038, 'recall': 0.5530686771115562, 'f1-score': 0.5444768721058503, 'support': 8489}};{'-1': {'precision': 0.5812090313182812, 'recall': 0.6804519292261778, 'f1-score': 0.6269272316606108, 'support': 4691}, '1': {'precision': 0.49545607539548975, 'recall': 0.3902439024390244, 'f1-score': 0.4366009194720451, 'support': 3772}, 'accuracy': 0.5511048091693252, 'macro avg': {'precision': 0.5383325533568855, 'recall': 0.5353479158326011, 'f1-score': 0.531764075566328, 'support': 8463}, 'weighted avg': {'precision': 0.5429885244364699, 'recall': 0.5511048091693252, 'f1-score': 0.5420978745088596, 'support': 8463}};{'-1': {'precision': 0.5742427058167627, 'recall': 0.6552162849872774, 'f1-score': 0.6120629890066357, 'support': 4716}, '1': {'precision': 0.47463651050080774, 'recall': 0.3906914893617021, 'f1-score': 0.42859226841721365, 'support': 3760}, 'accuracy': 0.5378716375648891, 'macro avg': {'precision': 0.5244396081587852, 'recall': 0.5229538871744898, 'f1-score': 0.5203276287119247, 'support': 8476}, 'weighted avg': {'precision': 0.5300568523023702, 'recall': 0.5378716375648891, 'f1-score': 0.5306743729830129, 'support': 8476}};{'-1': {'precision': 0.5861196457617929, 'recall': 0.682018927444795, 'f1-score': 0.630443234836703, 'support': 4755}, '1': {'precision': 0.4944834503510532, 'recall': 0.3924117803130804, 'f1-score': 0.43757396449704145, 'support': 3769}, 'accuracy': 0.5539652745190051, 'macro avg': {'precision': 0.540301548056423, 'recall': 0.5372153538789377, 'f1-score': 0.5340085996668722, 'support': 8524}, 'weighted avg': {'precision': 0.5456014828684238, 'recall': 0.5539652745190051, 'f1-score': 0.5451635210978263, 'support': 8524}}
