Parameters;fold1;fold2;fold3;fold4;fold5
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.001_auto;{'-1': {'precision': 0.16666666666666666, 'recall': 0.0002106593638087213, 'f1-score': 0.0004207868714496107, 'support': 4747}, '1': {'precision': 0.44236869933027845, 'recall': 0.9986737400530504, 'f1-score': 0.613142252259588, 'support': 3770}, 'accuracy': 0.4421744745802513, 'macro avg': {'precision': 0.30451768299847254, 'recall': 0.49944219970842957, 'f1-score': 0.3067815195655188, 'support': 8517}, 'weighted avg': {'precision': 0.2887045512670913, 'recall': 0.4421744745802513, 'f1-score': 0.2716383428786448, 'support': 8517}};{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4725}, '1': {'precision': 0.4430693069306931, 'recall': 0.9986716259298618, 'f1-score': 0.6138145003265839, 'support': 3764}, 'accuracy': 0.4428083402049711, 'macro avg': {'precision': 0.22153465346534654, 'recall': 0.4993358129649309, 'f1-score': 0.30690725016329196, 'support': 8489}, 'weighted avg': {'precision': 0.19645575112346905, 'recall': 0.4428083402049711, 'f1-score': 0.27216371530560274, 'support': 8489}};{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4691}, '1': {'precision': 0.44511473858528505, 'recall': 0.9976139978791092, 'f1-score': 0.6155733682316376, 'support': 3772}, 'accuracy': 0.4446413801252511, 'macro avg': {'precision': 0.22255736929264253, 'recall': 0.4988069989395546, 'f1-score': 0.3077866841158188, 'support': 8463}, 'weighted avg': {'precision': 0.1983897901386855, 'recall': 0.4446413801252511, 'f1-score': 0.27436402516480407, 'support': 8463}};{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4716}, '1': {'precision': 0.4434741562426245, 'recall': 0.999468085106383, 'f1-score': 0.6143534412293608, 'support': 3760}, 'accuracy': 0.4433695139216612, 'macro avg': {'precision': 0.22173707812131224, 'recall': 0.4997340425531915, 'f1-score': 0.3071767206146804, 'support': 8476}, 'weighted avg': {'precision': 0.19672756341107459, 'recall': 0.4433695139216612, 'f1-score': 0.27253054967229784, 'support': 8476}};{'-1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4755}, '1': {'precision': 0.441966905292806, 'recall': 0.9992040328999735, 'f1-score': 0.6128559804719285, 'support': 3769}, 'accuracy': 0.44181135617081185, 'macro avg': {'precision': 0.220983452646403, 'recall': 0.49960201644998675, 'f1-score': 0.30642799023596423, 'support': 8524}, 'weighted avg': {'precision': 0.19542154693202554, 'recall': 0.44181135617081185, 'f1-score': 0.2709824249646526, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.005_auto;{'-1': {'precision': 0.24, 'recall': 0.0012639561828523278, 'f1-score': 0.002514668901927913, 'support': 4747}, '1': {'precision': 0.4417098445595855, 'recall': 0.9949602122015915, 'f1-score': 0.6118088403196869, 'support': 3770}, 'accuracy': 0.4411177644710579, 'macro avg': {'precision': 0.34085492227979275, 'recall': 0.4981120841922219, 'f1-score': 0.30716175461080736, 'support': 8517}, 'weighted avg': {'precision': 0.3292856773499633, 'recall': 0.4411177644710579, 'f1-score': 0.2722151533735671, 'support': 8517}};{'-1': {'precision': 0.15, 'recall': 0.0006349206349206349, 'f1-score': 0.0012644889357218126, 'support': 4725}, '1': {'precision': 0.4424371236273468, 'recall': 0.9954835281615303, 'f1-score': 0.6126052480994032, 'support': 3764}, 'accuracy': 0.44174814465779244, 'macro avg': {'precision': 0.2962185618136734, 'recall': 0.4980592243982255, 'f1-score': 0.3069348685175625, 'support': 8489}, 'weighted avg': {'precision': 0.27966584207012996, 'recall': 0.44174814465779244, 'f1-score': 0.27233135399545755, 'support': 8489}};{'-1': {'precision': 0.3793103448275862, 'recall': 0.0023449157962055, 'f1-score': 0.004661016949152543, 'support': 4691}, '1': {'precision': 0.4451031539008774, 'recall': 0.9952279957582184, 'f1-score': 0.6151073242667541, 'support': 3772}, 'accuracy': 0.44487770294221907, 'macro avg': {'precision': 0.4122067493642318, 'recall': 0.498786455777212, 'f1-score': 0.3098841706079533, 'support': 8463}, 'weighted avg': {'precision': 0.40863451779514554, 'recall': 0.44487770294221907, 'f1-score': 0.27673988628650253, 'support': 8463}};{'-1': {'precision': 0.21428571428571427, 'recall': 0.0006361323155216285, 'f1-score': 0.0012684989429175477, 'support': 4716}, '1': {'precision': 0.4430394705743323, 'recall': 0.9970744680851064, 'f1-score': 0.6134838815251187, 'support': 3760}, 'accuracy': 0.44266163284568194, 'macro avg': {'precision': 0.32866259243002327, 'recall': 0.498855300200314, 'f1-score': 0.30737619023401813, 'support': 8476}, 'weighted avg': {'precision': 0.3157621328375316, 'recall': 0.44266163284568194, 'f1-score': 0.27285059409500295, 'support': 8476}};{'-1': {'precision': 0.4, 'recall': 0.002103049421661409, 'f1-score': 0.004184100418410042, 'support': 4755}, '1': {'precision': 0.44169902341451933, 'recall': 0.9960201644998673, 'f1-score': 0.6119986957939354, 'support': 3769}, 'accuracy': 0.4415767245424683, 'macro avg': {'precision': 0.4208495117072597, 'recall': 0.49906160696076435, 'f1-score': 0.3080913981061727, 'support': 8524}, 'weighted avg': {'precision': 0.4184377779504133, 'recall': 0.4415767245424683, 'f1-score': 0.27293740989405, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.01_auto;{'-1': {'precision': 0.4117647058823529, 'recall': 0.005898462186644196, 'f1-score': 0.011630321910695742, 'support': 4747}, '1': {'precision': 0.44147236359332465, 'recall': 0.9893899204244032, 'f1-score': 0.6105245928472052, 'support': 3770}, 'accuracy': 0.4412351767054127, 'macro avg': {'precision': 0.4266185347378388, 'recall': 0.49764419130552373, 'f1-score': 0.3110774573789505, 'support': 8517}, 'weighted avg': {'precision': 0.42491462599158897, 'recall': 0.4412351767054127, 'f1-score': 0.27672735154914124, 'support': 8517}};{'-1': {'precision': 0.2978723404255319, 'recall': 0.002962962962962963, 'f1-score': 0.00586756077116513, 'support': 4725}, '1': {'precision': 0.4419568822553897, 'recall': 0.9912327311370882, 'f1-score': 0.6113386858921842, 'support': 3764}, 'accuracy': 0.44115914713158205, 'macro avg': {'precision': 0.3699146113404608, 'recall': 0.4970978470500256, 'f1-score': 0.30860312333167467, 'support': 8489}, 'weighted avg': {'precision': 0.3617590426811079, 'recall': 0.44115914713158205, 'f1-score': 0.2743318457229281, 'support': 8489}};{'-1': {'precision': 0.48214285714285715, 'recall': 0.005755702408868045, 'f1-score': 0.01137560564567095, 'support': 4691}, '1': {'precision': 0.4452242179136434, 'recall': 0.9923117709437964, 'f1-score': 0.6146645865834632, 'support': 3772}, 'accuracy': 0.445468509984639, 'macro avg': {'precision': 0.4636835375282503, 'recall': 0.4990337366763322, 'f1-score': 0.3130200961145671, 'support': 8463}, 'weighted avg': {'precision': 0.4656880412179376, 'recall': 0.445468509984639, 'f1-score': 0.28026442002560153, 'support': 8463}};{'-1': {'precision': 0.4444444444444444, 'recall': 0.005089058524173028, 'f1-score': 0.010062893081761006, 'support': 4716}, '1': {'precision': 0.44288767513654714, 'recall': 0.9920212765957447, 'f1-score': 0.6123789197176162, 'support': 3760}, 'accuracy': 0.4428975932043417, 'macro avg': {'precision': 0.4436660597904958, 'recall': 0.4985551675599589, 'f1-score': 0.3112209063996886, 'support': 8476}, 'weighted avg': {'precision': 0.44375385305726966, 'recall': 0.4428975932043417, 'f1-score': 0.27725357974419795, 'support': 8476}};{'-1': {'precision': 0.4489795918367347, 'recall': 0.0046267087276551, 'f1-score': 0.00915903413821815, 'support': 4755}, '1': {'precision': 0.4415339233038348, 'recall': 0.9928362960997612, 'f1-score': 0.6112381574648806, 'support': 3769}, 'accuracy': 0.4415767245424683, 'macro avg': {'precision': 0.4452567575702847, 'recall': 0.49873150241370817, 'f1-score': 0.3101985958015494, 'support': 8524}, 'weighted avg': {'precision': 0.44568739044061784, 'recall': 0.4415767245424683, 'f1-score': 0.275376328344951, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.05_auto;{'-1': {'precision': 0.6029411764705882, 'recall': 0.05182220349694544, 'f1-score': 0.09544131910766247, 'support': 4747}, '1': {'precision': 0.4449377235170798, 'recall': 0.9570291777188329, 'f1-score': 0.6074585402811684, 'support': 3770}, 'accuracy': 0.4525067512034754, 'macro avg': {'precision': 0.523939449993834, 'recall': 0.5044256906078892, 'f1-score': 0.35144992969441546, 'support': 8517}, 'weighted avg': {'precision': 0.5330018765252169, 'recall': 0.4525067512034754, 'f1-score': 0.3220827331999623, 'support': 8517}};{'-1': {'precision': 0.5522388059701493, 'recall': 0.04698412698412698, 'f1-score': 0.08660035108250438, 'support': 4725}, '1': {'precision': 0.4431804130085322, 'recall': 0.9521785334750266, 'f1-score': 0.6048434731246308, 'support': 3764}, 'accuracy': 0.4483449169513488, 'macro avg': {'precision': 0.49770960948934073, 'recall': 0.4995813302295768, 'f1-score': 0.3457219121035676, 'support': 8489}, 'weighted avg': {'precision': 0.5038826048737272, 'recall': 0.4483449169513488, 'f1-score': 0.31638797169347904, 'support': 8489}};{'-1': {'precision': 0.5919395465994962, 'recall': 0.05009592837348113, 'f1-score': 0.092374213836478, 'support': 4691}, '1': {'precision': 0.4475576493925118, 'recall': 0.957051961823966, 'f1-score': 0.6099003210001689, 'support': 3772}, 'accuracy': 0.4543306156209382, 'macro avg': {'precision': 0.519748597996004, 'recall': 0.5035739450987236, 'f1-score': 0.35113726741832346, 'support': 8463}, 'weighted avg': {'precision': 0.5275878372452784, 'recall': 0.4543306156209382, 'f1-score': 0.3230381009003374, 'support': 8463}};{'-1': {'precision': 0.59375, 'recall': 0.05640373197625106, 'f1-score': 0.10302091402013942, 'support': 4716}, '1': {'precision': 0.4456900847035376, 'recall': 0.9515957446808511, 'f1-score': 0.6070580251102816, 'support': 3760}, 'accuracy': 0.4535158093440302, 'macro avg': {'precision': 0.5197200423517688, 'recall': 0.503999738328551, 'f1-score': 0.35503946956521054, 'support': 8476}, 'weighted avg': {'precision': 0.5280698110530088, 'recall': 0.4535158093440302, 'f1-score': 0.32661453574016475, 'support': 8476}};{'-1': {'precision': 0.5773672055427251, 'recall': 0.052576235541535225, 'f1-score': 0.09637625289128758, 'support': 4755}, '1': {'precision': 0.4432085032752441, 'recall': 0.9514460068983815, 'f1-score': 0.6047217537942664, 'support': 3769}, 'accuracy': 0.45002346316283437, 'macro avg': {'precision': 0.5102878544089846, 'recall': 0.5020111212199584, 'f1-score': 0.350549003342777, 'support': 8524}, 'weighted avg': {'precision': 0.518047150539659, 'recall': 0.45002346316283437, 'f1-score': 0.32114797894752023, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.1_auto;{'-1': {'precision': 0.6708133971291866, 'recall': 0.14767221402991362, 'f1-score': 0.24205801104972377, 'support': 4747}, '1': {'precision': 0.4585117773019272, 'recall': 0.9087533156498674, 'f1-score': 0.6095000889521438, 'support': 3770}, 'accuracy': 0.4845602911823412, 'macro avg': {'precision': 0.564662587215557, 'recall': 0.5282127648398905, 'f1-score': 0.4257790500009338, 'support': 8517}, 'weighted avg': {'precision': 0.5768393326993676, 'recall': 0.4845602911823412, 'f1-score': 0.4047040875663521, 'support': 8517}};{'-1': {'precision': 0.6462093862815884, 'recall': 0.15153439153439152, 'f1-score': 0.24549974284244813, 'support': 4725}, '1': {'precision': 0.4568486654924807, 'recall': 0.895855472901169, 'f1-score': 0.6051144010767161, 'support': 3764}, 'accuracy': 0.4815643774296148, 'macro avg': {'precision': 0.5515290258870346, 'recall': 0.5236949322177802, 'f1-score': 0.4253070719595821, 'support': 8489}, 'weighted avg': {'precision': 0.5622473468128405, 'recall': 0.4815643774296148, 'f1-score': 0.40495192491263127, 'support': 8489}};{'-1': {'precision': 0.6480769230769231, 'recall': 0.1436793860584097, 'f1-score': 0.23521200488570929, 'support': 4691}, '1': {'precision': 0.45884413309982486, 'recall': 0.9029692470837752, 'f1-score': 0.6084859312192943, 'support': 3772}, 'accuracy': 0.48209854661467566, 'macro avg': {'precision': 0.553460528088374, 'recall': 0.5233243165710925, 'f1-score': 0.42184896805250177, 'support': 8463}, 'weighted avg': {'precision': 0.5637349540595988, 'recall': 0.48209854661467566, 'f1-score': 0.4015819978114192, 'support': 8463}};{'-1': {'precision': 0.6367969494756911, 'recall': 0.14164546225614927, 'f1-score': 0.23174327840416303, 'support': 4716}, '1': {'precision': 0.454961626497913, 'recall': 0.8986702127659575, 'f1-score': 0.6040940377223564, 'support': 3760}, 'accuracy': 0.47746578574799436, 'macro avg': {'precision': 0.5458792879868021, 'recall': 0.5201578375110534, 'f1-score': 0.4179186580632597, 'support': 8476}, 'weighted avg': {'precision': 0.5561338047852185, 'recall': 0.47746578574799436, 'f1-score': 0.3969201135901478, 'support': 8476}};{'-1': {'precision': 0.6606118546845124, 'recall': 0.14532071503680336, 'f1-score': 0.23823478710567142, 'support': 4755}, '1': {'precision': 0.45653918159935813, 'recall': 0.9058105598301937, 'f1-score': 0.6070952253934383, 'support': 3769}, 'accuracy': 0.4815814171750352, 'macro avg': {'precision': 0.5585755181419353, 'recall': 0.5255656374334985, 'f1-score': 0.42266500624955483, 'support': 8524}, 'weighted avg': {'precision': 0.5703784073759781, 'recall': 0.4815814171750352, 'f1-score': 0.4013313370712501, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.2_auto;{'-1': {'precision': 0.675589836660617, 'recall': 0.313671792711186, 'f1-score': 0.42842756437922597, 'support': 4747}, '1': {'precision': 0.48392206557896406, 'recall': 0.8103448275862069, 'f1-score': 0.6059704453039769, 'support': 3770}, 'accuracy': 0.533521192908301, 'macro avg': {'precision': 0.5797559511197905, 'recall': 0.5620083101486965, 'f1-score': 0.5171990048416014, 'support': 8517}, 'weighted avg': {'precision': 0.5907492241235932, 'recall': 0.533521192908301, 'f1-score': 0.5070158772929645, 'support': 8517}};{'-1': {'precision': 0.650113895216401, 'recall': 0.302010582010582, 'f1-score': 0.41242774566473983, 'support': 4725}, '1': {'precision': 0.4760088973625675, 'recall': 0.79596174282678, 'f1-score': 0.5957446808510638, 'support': 3764}, 'accuracy': 0.5210272116857109, 'macro avg': {'precision': 0.5630613962894843, 'recall': 0.548986162418681, 'f1-score': 0.5040862132579018, 'support': 8489}, 'weighted avg': {'precision': 0.5729162026823181, 'recall': 0.5210272116857109, 'f1-score': 0.4937099866873954, 'support': 8489}};{'-1': {'precision': 0.6537574919317658, 'recall': 0.30228096354721806, 'f1-score': 0.4134110787172012, 'support': 4691}, '1': {'precision': 0.4799809342230696, 'recall': 0.8009013785790032, 'f1-score': 0.6002384263858535, 'support': 3772}, 'accuracy': 0.5245184922604278, 'macro avg': {'precision': 0.5668692130774177, 'recall': 0.5515911710631106, 'f1-score': 0.5068247525515273, 'support': 8463}, 'weighted avg': {'precision': 0.5763044403333726, 'recall': 0.5245184922604278, 'f1-score': 0.4966809304726255, 'support': 8463}};{'-1': {'precision': 0.6556411418214771, 'recall': 0.3068278201865988, 'f1-score': 0.41802686696518854, 'support': 4716}, '1': {'precision': 0.4785452225235285, 'recall': 0.7978723404255319, 'f1-score': 0.5982650314089142, 'support': 3760}, 'accuracy': 0.5246578574799434, 'macro avg': {'precision': 0.5670931821725028, 'recall': 0.5523500803060654, 'f1-score': 0.5081459491870514, 'support': 8476}, 'weighted avg': {'precision': 0.5770804225482012, 'recall': 0.5246578574799434, 'f1-score': 0.49798150338666186, 'support': 8476}};{'-1': {'precision': 0.6560073092736409, 'recall': 0.3019978969505783, 'f1-score': 0.41359447004608296, 'support': 4755}, '1': {'precision': 0.4760852407261247, 'recall': 0.8002122578933404, 'f1-score': 0.5969912905779889, 'support': 3769}, 'accuracy': 0.5222900046926325, 'macro avg': {'precision': 0.5660462749998828, 'recall': 0.5511050774219594, 'f1-score': 0.505292880312036, 'support': 8524}, 'weighted avg': {'precision': 0.5764523730517277, 'recall': 0.5222900046926325, 'f1-score': 0.49468581408465095, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.3_auto;{'-1': {'precision': 0.6669694217378141, 'recall': 0.464082578470613, 'f1-score': 0.5473291925465839, 'support': 4747}, '1': {'precision': 0.5120828538550057, 'recall': 0.7082228116710876, 'f1-score': 0.5943900267141585, 'support': 3770}, 'accuracy': 0.5721498180110367, 'macro avg': {'precision': 0.5895261377964099, 'recall': 0.5861526950708503, 'f1-score': 0.5708596096303712, 'support': 8517}, 'weighted avg': {'precision': 0.5984097926526682, 'recall': 0.5721498180110367, 'f1-score': 0.5681603942387005, 'support': 8517}};{'-1': {'precision': 0.6611940298507463, 'recall': 0.4687830687830688, 'f1-score': 0.5486068111455108, 'support': 4725}, '1': {'precision': 0.5115781280404748, 'recall': 0.6984590860786397, 'f1-score': 0.5905874424351342, 'support': 3764}, 'accuracy': 0.5706208033926258, 'macro avg': {'precision': 0.5863860789456106, 'recall': 0.5836210774308542, 'f1-score': 0.5695971267903225, 'support': 8489}, 'weighted avg': {'precision': 0.5948547373058221, 'recall': 0.5706208033926258, 'f1-score': 0.5672209112956041, 'support': 8489}};{'-1': {'precision': 0.6668651384340577, 'recall': 0.47751012577275637, 'f1-score': 0.5565217391304348, 'support': 4691}, '1': {'precision': 0.5197884012539185, 'recall': 0.703340402969247, 'f1-score': 0.5977917981072555, 'support': 3772}, 'accuracy': 0.5781637717121588, 'macro avg': {'precision': 0.5933267698439881, 'recall': 0.5904252643710017, 'f1-score': 0.5771567686188451, 'support': 8463}, 'weighted avg': {'precision': 0.6013123258801778, 'recall': 0.5781637717121588, 'f1-score': 0.5749160038664111, 'support': 8463}};{'-1': {'precision': 0.6598373003916842, 'recall': 0.4643765903307888, 'f1-score': 0.5451151213441195, 'support': 4716}, '1': {'precision': 0.5101803374054683, 'recall': 0.6997340425531915, 'f1-score': 0.5901087809801503, 'support': 3760}, 'accuracy': 0.5687824445493157, 'macro avg': {'precision': 0.5850088188985763, 'recall': 0.5820553164419902, 'f1-score': 0.5676119511621349, 'support': 8476}, 'weighted avg': {'precision': 0.5934486523468314, 'recall': 0.5687824445493157, 'f1-score': 0.5650745550665683, 'support': 8476}};{'-1': {'precision': 0.6618171021377672, 'recall': 0.46876971608832807, 'f1-score': 0.548812015265296, 'support': 4755}, '1': {'precision': 0.5100853374709077, 'recall': 0.6977978243565932, 'f1-score': 0.5893557422969188, 'support': 3769}, 'accuracy': 0.570037541060535, 'macro avg': {'precision': 0.5859512198043375, 'recall': 0.5832837702224607, 'f1-score': 0.5690838787811074, 'support': 8524}, 'weighted avg': {'precision': 0.5947268838095887, 'recall': 0.570037541060535, 'f1-score': 0.5667389635503952, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.4_auto;{'-1': {'precision': 0.6391752577319587, 'recall': 0.561617863914051, 'f1-score': 0.597891904014353, 'support': 4747}, '1': {'precision': 0.5211688909341924, 'recall': 0.6007957559681698, 'f1-score': 0.5581567274519469, 'support': 3770}, 'accuracy': 0.5789597276036162, 'macro avg': {'precision': 0.5801720743330756, 'recall': 0.5812068099411104, 'f1-score': 0.5780243157331499, 'support': 8517}, 'weighted avg': {'precision': 0.5869404329312566, 'recall': 0.5789597276036162, 'f1-score': 0.5803033616120667, 'support': 8517}};{'-1': {'precision': 0.6378159275154983, 'recall': 0.5661375661375662, 'f1-score': 0.5998430317300145, 'support': 4725}, '1': {'precision': 0.5227008149010477, 'recall': 0.5964399574920297, 'f1-score': 0.5571410845017993, 'support': 3764}, 'accuracy': 0.5795735657910237, 'macro avg': {'precision': 0.580258371208273, 'recall': 0.5812887618147979, 'f1-score': 0.578492058115907, 'support': 8489}, 'weighted avg': {'precision': 0.5867741930496257, 'recall': 0.5795735657910237, 'f1-score': 0.5809091020130865, 'support': 8489}};{'-1': {'precision': 0.6443238140193533, 'recall': 0.5819654657855468, 'f1-score': 0.6115591397849462, 'support': 4691}, '1': {'precision': 0.5359678182678655, 'recall': 0.6004772004241782, 'f1-score': 0.5663915978994749, 'support': 3772}, 'accuracy': 0.5902162353775257, 'macro avg': {'precision': 0.5901458161436095, 'recall': 0.5912213331048625, 'f1-score': 0.5889753688422106, 'support': 8463}, 'weighted avg': {'precision': 0.5960290230498848, 'recall': 0.5902162353775257, 'f1-score': 0.5914277480808227, 'support': 8463}};{'-1': {'precision': 0.6465183752417795, 'recall': 0.5670059372349449, 'f1-score': 0.6041572525982829, 'support': 4716}, '1': {'precision': 0.5294930875576037, 'recall': 0.6111702127659574, 'f1-score': 0.5674074074074075, 'support': 3760}, 'accuracy': 0.5865974516281265, 'macro avg': {'precision': 0.5880057313996916, 'recall': 0.5890880750004511, 'f1-score': 0.5857823300028452, 'support': 8476}, 'weighted avg': {'precision': 0.5946053169958497, 'recall': 0.5865974516281265, 'f1-score': 0.5878548200926562, 'support': 8476}};{'-1': {'precision': 0.642586451918522, 'recall': 0.5705573080967403, 'f1-score': 0.6044335524117189, 'support': 4755}, '1': {'precision': 0.5253370525337052, 'recall': 0.5996285486866543, 'f1-score': 0.5600297360921819, 'support': 3769}, 'accuracy': 0.5834115438761145, 'macro avg': {'precision': 0.5839617522261136, 'recall': 0.5850929283916972, 'f1-score': 0.5822316442519504, 'support': 8524}, 'weighted avg': {'precision': 0.590743070139853, 'recall': 0.5834115438761145, 'f1-score': 0.584799814294833, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.5_auto;{'-1': {'precision': 0.6299009900990099, 'recall': 0.6701074362755425, 'f1-score': 0.6493824640195979, 'support': 4747}, '1': {'precision': 0.548312662244015, 'recall': 0.5042440318302387, 'f1-score': 0.5253558104186817, 'support': 3770}, 'accuracy': 0.5966889749911941, 'macro avg': {'precision': 0.5891068261715124, 'recall': 0.5871757340528906, 'f1-score': 0.5873691372191399, 'support': 8517}, 'weighted avg': {'precision': 0.5937863962263634, 'recall': 0.5966889749911941, 'f1-score': 0.5944827946435906, 'support': 8517}};{'-1': {'precision': 0.6261422328168454, 'recall': 0.6670899470899471, 'f1-score': 0.6459678245721897, 'support': 4725}, '1': {'precision': 0.5447178002894356, 'recall': 0.5, 'f1-score': 0.5214018562127719, 'support': 3764}, 'accuracy': 0.5930027093886205, 'macro avg': {'precision': 0.5854300165531405, 'recall': 0.5835449735449736, 'f1-score': 0.5836848403924808, 'support': 8489}, 'weighted avg': {'precision': 0.5900388562079196, 'recall': 0.5930027093886205, 'f1-score': 0.5907356058297173, 'support': 8489}};{'-1': {'precision': 0.6273897776043699, 'recall': 0.6855681091451716, 'f1-score': 0.655189976571254, 'support': 4691}, '1': {'precision': 0.5579862151633204, 'recall': 0.4936373276776246, 'f1-score': 0.523843015895344, 'support': 3772}, 'accuracy': 0.6000236322816968, 'macro avg': {'precision': 0.5926879963838452, 'recall': 0.5896027184113981, 'f1-score': 0.589516496233299, 'support': 8463}, 'weighted avg': {'precision': 0.596456274410746, 'recall': 0.6000236322816968, 'f1-score': 0.5966480014241983, 'support': 8463}};{'-1': {'precision': 0.6260504201680672, 'recall': 0.6634860050890585, 'f1-score': 0.644224830142063, 'support': 4716}, '1': {'precision': 0.5437032777458309, 'recall': 0.5029255319148936, 'f1-score': 0.522520033158331, 'support': 3760}, 'accuracy': 0.5922605002359603, 'macro avg': {'precision': 0.5848768489569491, 'recall': 0.583205768501976, 'f1-score': 0.5833724316501969, 'support': 8476}, 'weighted avg': {'precision': 0.5895207769982219, 'recall': 0.5922605002359603, 'f1-score': 0.5902359159539045, 'support': 8476}};{'-1': {'precision': 0.632095855431153, 'recall': 0.6767613038906414, 'f1-score': 0.6536664635384928, 'support': 4755}, '1': {'precision': 0.5522866297698805, 'recall': 0.5030512072167683, 'f1-score': 0.5265204109969452, 'support': 3769}, 'accuracy': 0.5999530736743313, 'macro avg': {'precision': 0.5921912426005167, 'recall': 0.5899062555537049, 'f1-score': 0.590093437267719, 'support': 8524}, 'weighted avg': {'precision': 0.5968071445539432, 'recall': 0.5999530736743311, 'f1-score': 0.5974471449053285, 'support': 8524}}
[32]_0.001_0.3_20_['tanh']_OCSVM_RBF_0.6_auto;{'-1': {'precision': 0.6117058011049724, 'recall': 0.7463661259742995, 'f1-score': 0.672359806433248, 'support': 4747}, '1': {'precision': 0.5581651376146789, 'recall': 0.40344827586206894, 'f1-score': 0.46836027713625866, 'support': 3770}, 'accuracy': 0.5945755547728073, 'macro avg': {'precision': 0.5849354693598257, 'recall': 0.5749072009181843, 'f1-score': 0.5703600417847533, 'support': 8517}, 'weighted avg': {'precision': 0.588006341041757, 'recall': 0.5945755547728073, 'f1-score': 0.5820606135895647, 'support': 8517}};{'-1': {'precision': 0.6162891232924088, 'recall': 0.7542857142857143, 'f1-score': 0.6783403121431291, 'support': 4725}, '1': {'precision': 0.5709534368070953, 'recall': 0.41046758767268865, 'f1-score': 0.47758887171561054, 'support': 3764}, 'accuracy': 0.6018376722817764, 'macro avg': {'precision': 0.593621280049752, 'recall': 0.5823766509792014, 'f1-score': 0.5779645919293698, 'support': 8489}, 'weighted avg': {'precision': 0.5961874006006054, 'recall': 0.6018376722817764, 'f1-score': 0.5893276579118675, 'support': 8489}};{'-1': {'precision': 0.6124295714529623, 'recall': 0.7646557237262843, 'f1-score': 0.6801289343951461, 'support': 4691}, '1': {'precision': 0.5763622409823485, 'recall': 0.39819724284199365, 'f1-score': 0.4709940420194419, 'support': 3772}, 'accuracy': 0.6013234077750207, 'macro avg': {'precision': 0.5943959062176554, 'recall': 0.5814264832841389, 'f1-score': 0.575561488207294, 'support': 8463}, 'weighted avg': {'precision': 0.596354187955957, 'recall': 0.6013234077750207, 'f1-score': 0.5869165021558508, 'support': 8463}};{'-1': {'precision': 0.6109965635738832, 'recall': 0.7540288379983037, 'f1-score': 0.6750189825360668, 'support': 4716}, '1': {'precision': 0.5632530120481928, 'recall': 0.39787234042553193, 'f1-score': 0.4663341645885287, 'support': 3760}, 'accuracy': 0.5960358659745163, 'macro avg': {'precision': 0.5871247878110379, 'recall': 0.5759505892119178, 'f1-score': 0.5706765735622978, 'support': 8476}, 'weighted avg': {'precision': 0.5898172627555024, 'recall': 0.5960358659745163, 'f1-score': 0.5824452548953467, 'support': 8476}};{'-1': {'precision': 0.6116820829051045, 'recall': 0.7509989484752891, 'f1-score': 0.674218823751534, 'support': 4755}, '1': {'precision': 0.5591958302308265, 'recall': 0.39851419474661715, 'f1-score': 0.46537567776917116, 'support': 3769}, 'accuracy': 0.5951431252932895, 'macro avg': {'precision': 0.5854389565679655, 'recall': 0.5747565716109532, 'f1-score': 0.5697972507603526, 'support': 8524}, 'weighted avg': {'precision': 0.5884745880283618, 'recall': 0.5951431252932895, 'f1-score': 0.5818760483869722, 'support': 8524}}
